uncertainty_id,sample_id,sha256,stage,uncertainty_reason,impact,evidence_label
V23-U-00011,PCCC39589_39590-PATCHLINKED-GCC-O0-S,b64a195af247f1bcf37b22e6338af246e62fd4f75b1b3bf130cdd7a4e31bbd8b,static_analysis,"Static recovery can miss indirect calls, computed edges, and runtime-loaded code.",Extracted relations are demonstrative and incomplete.,DERIVED_EVIDENCE
V23-U-00012,PCCC39589_39590-PATCHLINKED-GCC-O0-S,b64a195af247f1bcf37b22e6338af246e62fd4f75b1b3bf130cdd7a4e31bbd8b,label_scope,CVE/patch linkage does not prove exploitability or corrected behavior.,No behavioral or accuracy claim is permitted.,NEEDS_EXPERT_REVIEW
V23-U-00013,ENIPTHREAD54811-AFFECTED-GCC-O0-S,59262f274ed84de85ba69ff42a4a7bb72f395d6c9da27737dcf6e065a36cd385,static_analysis,"Static recovery can miss indirect calls, computed edges, and runtime-loaded code.",Extracted relations are demonstrative and incomplete.,DERIVED_EVIDENCE
V23-U-00014,ENIPTHREAD54811-AFFECTED-GCC-O0-S,59262f274ed84de85ba69ff42a4a7bb72f395d6c9da27737dcf6e065a36cd385,label_scope,CVE/patch linkage does not prove exploitability or corrected behavior.,No behavioral or accuracy claim is permitted.,NEEDS_EXPERT_REVIEW
V23-U-00015,ENIPTHREAD54811-PATCHLINKED-GCC-O0-S,b2640a280ac750572361f20eed5e102808fdc74905ef04dcdb04bca21bac89a4,static_analysis,"Static recovery can miss indirect calls, computed edges, and runtime-loaded code.",Extracted relations are demonstrative and incomplete.,DERIVED_EVIDENCE
V23-U-00016,ENIPTHREAD54811-PATCHLINKED-GCC-O0-S,b2640a280ac750572361f20eed5e102808fdc74905ef04dcdb04bca21bac89a4,label_scope,CVE/patch linkage does not prove exploitability or corrected behavior.,No behavioral or accuracy claim is permitted.,NEEDS_EXPERT_REVIEW
V23-U-00017,SERVER46613-AFFECTED-GCC-O0-S,fc9c1bcd56020066cb13d7fb68e74901996882e5dd80f08d73497113e1abf1d6,static_analysis,"Static recovery can miss indirect calls, computed edges, and runtime-loaded code.",Extracted relations are demonstrative and incomplete.,DERIVED_EVIDENCE
V23-U-00018,SERVER46613-AFFECTED-GCC-O0-S,fc9c1bcd56020066cb13d7fb68e74901996882e5dd80f08d73497113e1abf1d6,label_scope,CVE/patch linkage does not prove exploitability or corrected behavior.,No behavioral or accuracy claim is permitted.,NEEDS_EXPERT_REVIEW
V23-U-00019,OPENPLC-RUNTIME-CURRENT-GCC-PROJECT-O2-S,6015014dc6e1f76a069ec9c706d6abeb80ac3228d9cb99c84dc88c9c280838a8,static_analysis,"Static recovery can miss indirect calls, computed edges, and runtime-loaded code.",Extracted relations are demonstrative and incomplete.,DERIVED_EVIDENCE
V23-U-00020,OPENPLC-RUNTIME-CURRENT-GCC-PROJECT-O2-S,6015014dc6e1f76a069ec9c706d6abeb80ac3228d9cb99c84dc88c9c280838a8,label_scope,CVE/patch linkage does not prove exploitability or corrected behavior.,No behavioral or accuracy claim is permitted.,NEEDS_EXPERT_REVIEW
