sample_id,sha256,case_id,cve,compiler,optimization,stripped_status,pair_role,architecture,relation_row_count,relation_type_count,relation_sha256_status,eligibility_status,exclusion_reason,eligibility_rule,evidence_label
ENIP34026-AFFECTED-GCC-O3-S,8c2a19f28fe829538a983cfea60a696e802c72ed91a59b6264b8045e7a1188d2,enip34026,CVE-2024-34026,gcc,O3,stripped,affected,Advanced Micro Devices X86-64,0,0,NOT_APPLICABLE,EXCLUDED_NO_LANDED_RELATION_ROWS,The sample has no rows in RELATION_EXTRACTION_RECORDS_v2_3.csv; the landed adapter therefore has no relation record to join.,sample_id present in landed relation table AND all relation SHA-256 values equal the v2.6 manifest SHA-256,DERIVED_EVIDENCE
ENIP34026-AFFECTED-GCC-O3-U,eb9541b08556a8bedc4f146036df92d368d02028eaca8cf4e6799fa1d3cbcdbd,enip34026,CVE-2024-34026,gcc,O3,unstripped,affected,Advanced Micro Devices X86-64,0,0,NOT_APPLICABLE,EXCLUDED_NO_LANDED_RELATION_ROWS,The sample has no rows in RELATION_EXTRACTION_RECORDS_v2_3.csv; the landed adapter therefore has no relation record to join.,sample_id present in landed relation table AND all relation SHA-256 values equal the v2.6 manifest SHA-256,DERIVED_EVIDENCE
ENIP34026-PATCHLINKED-GCC-O0-S,033b4c067c8b7ecef0ef85a01edb05d0badc672061fe5b0d8e2218bf1e564c25,enip34026,CVE-2024-34026,gcc,O0,stripped,patchlinked,Advanced Micro Devices X86-64,197,8,MATCH,INCLUDED_RELATION_BACKED_CARD_INPUT,NOT_APPLICABLE,sample_id present in landed relation table AND all relation SHA-256 values equal the v2.6 manifest SHA-256,DERIVED_EVIDENCE
ENIP34026-PATCHLINKED-GCC-O0-U,eaa96d2016714cd8fb0b86bbd1bea43b8ef4343328a68fb8c593206544267aa7,enip34026,CVE-2024-34026,gcc,O0,unstripped,patchlinked,Advanced Micro Devices X86-64,0,0,NOT_APPLICABLE,EXCLUDED_NO_LANDED_RELATION_ROWS,The sample has no rows in RELATION_EXTRACTION_RECORDS_v2_3.csv; the landed adapter therefore has no relation record to join.,sample_id present in landed relation table AND all relation SHA-256 values equal the v2.6 manifest SHA-256,DERIVED_EVIDENCE
ENIP34026-PATCHLINKED-GCC-O1-S,ee1d585b37636f1d9123d22b120ded961df2d51620943a4a74427006a2b1a5a7,enip34026,CVE-2024-34026,gcc,O1,stripped,patchlinked,Advanced Micro Devices X86-64,0,0,NOT_APPLICABLE,EXCLUDED_NO_LANDED_RELATION_ROWS,The sample has no rows in RELATION_EXTRACTION_RECORDS_v2_3.csv; the landed adapter therefore has no relation record to join.,sample_id present in landed relation table AND all relation SHA-256 values equal the v2.6 manifest SHA-256,DERIVED_EVIDENCE
ENIP34026-PATCHLINKED-GCC-O1-U,62deda6ff2f4fd0f6dc2fa4b8eae2953d20f2bd498fd161704f275bfc7ac6161,enip34026,CVE-2024-34026,gcc,O1,unstripped,patchlinked,Advanced Micro Devices X86-64,0,0,NOT_APPLICABLE,EXCLUDED_NO_LANDED_RELATION_ROWS,The sample has no rows in RELATION_EXTRACTION_RECORDS_v2_3.csv; the landed adapter therefore has no relation record to join.,sample_id present in landed relation table AND all relation SHA-256 values equal the v2.6 manifest SHA-256,DERIVED_EVIDENCE
ENIP34026-PATCHLINKED-GCC-O2-S,ce34d7c1ac3c8857f9f457f0d0857bad1fe3645fd2dda1e7e632ff1ebe2bd50e,enip34026,CVE-2024-34026,gcc,O2,stripped,patchlinked,Advanced Micro Devices X86-64,0,0,NOT_APPLICABLE,EXCLUDED_NO_LANDED_RELATION_ROWS,The sample has no rows in RELATION_EXTRACTION_RECORDS_v2_3.csv; the landed adapter therefore has no relation record to join.,sample_id present in landed relation table AND all relation SHA-256 values equal the v2.6 manifest SHA-256,DERIVED_EVIDENCE
ENIP34026-PATCHLINKED-GCC-O2-U,bd238b327b97d681e91908f039e5abdb33c4871252e146f688647d4df47013c6,enip34026,CVE-2024-34026,gcc,O2,unstripped,patchlinked,Advanced Micro Devices X86-64,0,0,NOT_APPLICABLE,EXCLUDED_NO_LANDED_RELATION_ROWS,The sample has no rows in RELATION_EXTRACTION_RECORDS_v2_3.csv; the landed adapter therefore has no relation record to join.,sample_id present in landed relation table AND all relation SHA-256 values equal the v2.6 manifest SHA-256,DERIVED_EVIDENCE
ENIP34026-PATCHLINKED-GCC-O3-S,5e738a04fe3275e2fe5df49e796491cf47e4a780d160e32108518c27983c2daa,enip34026,CVE-2024-34026,gcc,O3,stripped,patchlinked,Advanced Micro Devices X86-64,0,0,NOT_APPLICABLE,EXCLUDED_NO_LANDED_RELATION_ROWS,The sample has no rows in RELATION_EXTRACTION_RECORDS_v2_3.csv; the landed adapter therefore has no relation record to join.,sample_id present in landed relation table AND all relation SHA-256 values equal the v2.6 manifest SHA-256,DERIVED_EVIDENCE
ENIP34026-PATCHLINKED-GCC-O3-U,dc0157c9977790601f2254d64032be5b53f6d54ac7ae3ba8f64a5aaf73d1e919,enip34026,CVE-2024-34026,gcc,O3,unstripped,patchlinked,Advanced Micro Devices X86-64,0,0,NOT_APPLICABLE,EXCLUDED_NO_LANDED_RELATION_ROWS,The sample has no rows in RELATION_EXTRACTION_RECORDS_v2_3.csv; the landed adapter therefore has no relation record to join.,sample_id present in landed relation table AND all relation SHA-256 values equal the v2.6 manifest SHA-256,DERIVED_EVIDENCE
ENIPTHREAD54811-AFFECTED-GCC-O0-S,59262f274ed84de85ba69ff42a4a7bb72f395d6c9da27737dcf6e065a36cd385,enipthread54811,CVE-2025-54811,gcc,O0,stripped,affected,Advanced Micro Devices X86-64,19,5,MATCH,INCLUDED_RELATION_BACKED_CARD_INPUT,NOT_APPLICABLE,sample_id present in landed relation table AND all relation SHA-256 values equal the v2.6 manifest SHA-256,DERIVED_EVIDENCE
ENIPTHREAD54811-AFFECTED-GCC-O0-U,05a110469412003f5adb2b636f192b65dc047938585f844a99c18e3995cd61be,enipthread54811,CVE-2025-54811,gcc,O0,unstripped,affected,Advanced Micro Devices X86-64,0,0,NOT_APPLICABLE,EXCLUDED_NO_LANDED_RELATION_ROWS,The sample has no rows in RELATION_EXTRACTION_RECORDS_v2_3.csv; the landed adapter therefore has no relation record to join.,sample_id present in landed relation table AND all relation SHA-256 values equal the v2.6 manifest SHA-256,DERIVED_EVIDENCE
ENIPTHREAD54811-AFFECTED-GCC-O2-S,e67a8d05c7ad12228009020103faba03cefd77d371cbcbc7bbb6d55c16c0d0f7,enipthread54811,CVE-2025-54811,gcc,O2,stripped,affected,Advanced Micro Devices X86-64,0,0,NOT_APPLICABLE,EXCLUDED_NO_LANDED_RELATION_ROWS,The sample has no rows in RELATION_EXTRACTION_RECORDS_v2_3.csv; the landed adapter therefore has no relation record to join.,sample_id present in landed relation table AND all relation SHA-256 values equal the v2.6 manifest SHA-256,DERIVED_EVIDENCE
ENIPTHREAD54811-AFFECTED-GCC-O2-U,9791a3ad24774a0ebf83d25a69fddfb89249483a5009a25f9e506d71b1cfbeda,enipthread54811,CVE-2025-54811,gcc,O2,unstripped,affected,Advanced Micro Devices X86-64,0,0,NOT_APPLICABLE,EXCLUDED_NO_LANDED_RELATION_ROWS,The sample has no rows in RELATION_EXTRACTION_RECORDS_v2_3.csv; the landed adapter therefore has no relation record to join.,sample_id present in landed relation table AND all relation SHA-256 values equal the v2.6 manifest SHA-256,DERIVED_EVIDENCE
ENIPTHREAD54811-PATCHLINKED-GCC-O0-S,b2640a280ac750572361f20eed5e102808fdc74905ef04dcdb04bca21bac89a4,enipthread54811,CVE-2025-54811,gcc,O0,stripped,patchlinked,Advanced Micro Devices X86-64,19,5,MATCH,INCLUDED_RELATION_BACKED_CARD_INPUT,NOT_APPLICABLE,sample_id present in landed relation table AND all relation SHA-256 values equal the v2.6 manifest SHA-256,DERIVED_EVIDENCE
ENIPTHREAD54811-PATCHLINKED-GCC-O0-U,58e3e33fe77be6e07ae0b894b2e94bec198abf597496a4b4985e18bc93e7d12a,enipthread54811,CVE-2025-54811,gcc,O0,unstripped,patchlinked,Advanced Micro Devices X86-64,0,0,NOT_APPLICABLE,EXCLUDED_NO_LANDED_RELATION_ROWS,The sample has no rows in RELATION_EXTRACTION_RECORDS_v2_3.csv; the landed adapter therefore has no relation record to join.,sample_id present in landed relation table AND all relation SHA-256 values equal the v2.6 manifest SHA-256,DERIVED_EVIDENCE
ENIPTHREAD54811-PATCHLINKED-GCC-O2-S,08f62dec4298c4065056783b90e755c1dc2cb3ac75d238851422fb7f7f19d50e,enipthread54811,CVE-2025-54811,gcc,O2,stripped,patchlinked,Advanced Micro Devices X86-64,0,0,NOT_APPLICABLE,EXCLUDED_NO_LANDED_RELATION_ROWS,The sample has no rows in RELATION_EXTRACTION_RECORDS_v2_3.csv; the landed adapter therefore has no relation record to join.,sample_id present in landed relation table AND all relation SHA-256 values equal the v2.6 manifest SHA-256,DERIVED_EVIDENCE
ENIPTHREAD54811-PATCHLINKED-GCC-O2-U,9cf6405889a144c9fff360c71dcdabef7384d08051fae1d00cc15427bfbfb94d,enipthread54811,CVE-2025-54811,gcc,O2,unstripped,patchlinked,Advanced Micro Devices X86-64,0,0,NOT_APPLICABLE,EXCLUDED_NO_LANDED_RELATION_ROWS,The sample has no rows in RELATION_EXTRACTION_RECORDS_v2_3.csv; the landed adapter therefore has no relation record to join.,sample_id present in landed relation table AND all relation SHA-256 values equal the v2.6 manifest SHA-256,DERIVED_EVIDENCE
OPENPLC-RUNTIME-CURRENT-CLANG-PROJECT-O2-S,3ddc6e1f3739e6f09d7a5d0171ee5b85868eff646e5918277bba239cbd20d650,runtime_current,,clang,project_O2,stripped,control,Advanced Micro Devices X86-64,0,0,NOT_APPLICABLE,EXCLUDED_NO_LANDED_RELATION_ROWS,The sample has no rows in RELATION_EXTRACTION_RECORDS_v2_3.csv; the landed adapter therefore has no relation record to join.,sample_id present in landed relation table AND all relation SHA-256 values equal the v2.6 manifest SHA-256,DERIVED_EVIDENCE
OPENPLC-RUNTIME-CURRENT-CLANG-PROJECT-O2-U,20e28c939e4800ccb9f108f5b87dcde6065c2a7ba0e17da837c5602323b96e5a,runtime_current,,clang,project_O2,unstripped,control,Advanced Micro Devices X86-64,0,0,NOT_APPLICABLE,EXCLUDED_NO_LANDED_RELATION_ROWS,The sample has no rows in RELATION_EXTRACTION_RECORDS_v2_3.csv; the landed adapter therefore has no relation record to join.,sample_id present in landed relation table AND all relation SHA-256 values equal the v2.6 manifest SHA-256,DERIVED_EVIDENCE
OPENPLC-RUNTIME-CURRENT-GCC-PROJECT-O2-S,6015014dc6e1f76a069ec9c706d6abeb80ac3228d9cb99c84dc88c9c280838a8,runtime_current,,gcc,project_O2,stripped,control,Advanced Micro Devices X86-64,5001,6,MATCH,INCLUDED_RELATION_BACKED_CARD_INPUT,NOT_APPLICABLE,sample_id present in landed relation table AND all relation SHA-256 values equal the v2.6 manifest SHA-256,DERIVED_EVIDENCE
OPENPLC-RUNTIME-CURRENT-GCC-PROJECT-O2-U,9776e318d1057146f172cfc81b19261ccf1fe427f98fa654799a9cfc61795a4e,runtime_current,,gcc,project_O2,unstripped,control,Advanced Micro Devices X86-64,0,0,NOT_APPLICABLE,EXCLUDED_NO_LANDED_RELATION_ROWS,The sample has no rows in RELATION_EXTRACTION_RECORDS_v2_3.csv; the landed adapter therefore has no relation record to join.,sample_id present in landed relation table AND all relation SHA-256 values equal the v2.6 manifest SHA-256,DERIVED_EVIDENCE
PCCC39589_39590-AFFECTED-GCC-O0-S,a37055698f8abae7a4d590dca6bc789436d69cd83516c22ed5646031f50daceb,pccc39589_39590,CVE-2024-39589|CVE-2024-39590,gcc,O0,stripped,affected,Advanced Micro Devices X86-64,307,8,MATCH,INCLUDED_RELATION_BACKED_CARD_INPUT,NOT_APPLICABLE,sample_id present in landed relation table AND all relation SHA-256 values equal the v2.6 manifest SHA-256,DERIVED_EVIDENCE
PCCC39589_39590-AFFECTED-GCC-O0-U,4b2a5c2fad5b29197e9327e94bbfcf2d26a58efbab652de9a4d0c064c46efd3e,pccc39589_39590,CVE-2024-39589|CVE-2024-39590,gcc,O0,unstripped,affected,Advanced Micro Devices X86-64,326,7,MATCH,INCLUDED_RELATION_BACKED_CARD_INPUT,NOT_APPLICABLE,sample_id present in landed relation table AND all relation SHA-256 values equal the v2.6 manifest SHA-256,DERIVED_EVIDENCE
PCCC39589_39590-AFFECTED-GCC-O2-S,c9d65a0f7b5c2d3f043f14d4fd2a5a09c5297bb21bbe23c68f12e4a8a5215581,pccc39589_39590,CVE-2024-39589|CVE-2024-39590,gcc,O2,stripped,affected,Advanced Micro Devices X86-64,0,0,NOT_APPLICABLE,EXCLUDED_NO_LANDED_RELATION_ROWS,The sample has no rows in RELATION_EXTRACTION_RECORDS_v2_3.csv; the landed adapter therefore has no relation record to join.,sample_id present in landed relation table AND all relation SHA-256 values equal the v2.6 manifest SHA-256,DERIVED_EVIDENCE
PCCC39589_39590-AFFECTED-GCC-O2-U,b5aaa70eb2bd0f376745f7e1ecba6afb502c57e880ecd8da469447c5ac7d22af,pccc39589_39590,CVE-2024-39589|CVE-2024-39590,gcc,O2,unstripped,affected,Advanced Micro Devices X86-64,0,0,NOT_APPLICABLE,EXCLUDED_NO_LANDED_RELATION_ROWS,The sample has no rows in RELATION_EXTRACTION_RECORDS_v2_3.csv; the landed adapter therefore has no relation record to join.,sample_id present in landed relation table AND all relation SHA-256 values equal the v2.6 manifest SHA-256,DERIVED_EVIDENCE
PCCC39589_39590-PATCHLINKED-GCC-O0-S,b64a195af247f1bcf37b22e6338af246e62fd4f75b1b3bf130cdd7a4e31bbd8b,pccc39589_39590,CVE-2024-39589|CVE-2024-39590,gcc,O0,stripped,patchlinked,Advanced Micro Devices X86-64,307,8,MATCH,INCLUDED_RELATION_BACKED_CARD_INPUT,NOT_APPLICABLE,sample_id present in landed relation table AND all relation SHA-256 values equal the v2.6 manifest SHA-256,DERIVED_EVIDENCE
PCCC39589_39590-PATCHLINKED-GCC-O0-U,3b3849db150a27799c3c9baf943f572c023f5bfa434443ccbce6ff2e9e97e93a,pccc39589_39590,CVE-2024-39589|CVE-2024-39590,gcc,O0,unstripped,patchlinked,Advanced Micro Devices X86-64,0,0,NOT_APPLICABLE,EXCLUDED_NO_LANDED_RELATION_ROWS,The sample has no rows in RELATION_EXTRACTION_RECORDS_v2_3.csv; the landed adapter therefore has no relation record to join.,sample_id present in landed relation table AND all relation SHA-256 values equal the v2.6 manifest SHA-256,DERIVED_EVIDENCE
PCCC39589_39590-PATCHLINKED-GCC-O2-S,a4292084a0029978f8364f28f5a3c26a24ae6ee06a2ce89a52418039ef1e07d3,pccc39589_39590,CVE-2024-39589|CVE-2024-39590,gcc,O2,stripped,patchlinked,Advanced Micro Devices X86-64,0,0,NOT_APPLICABLE,EXCLUDED_NO_LANDED_RELATION_ROWS,The sample has no rows in RELATION_EXTRACTION_RECORDS_v2_3.csv; the landed adapter therefore has no relation record to join.,sample_id present in landed relation table AND all relation SHA-256 values equal the v2.6 manifest SHA-256,DERIVED_EVIDENCE
PCCC39589_39590-PATCHLINKED-GCC-O2-U,f61661402625a28d1596f344af8ee1eb1f80a75e2e6606efd1a601cbbea838ec,pccc39589_39590,CVE-2024-39589|CVE-2024-39590,gcc,O2,unstripped,patchlinked,Advanced Micro Devices X86-64,0,0,NOT_APPLICABLE,EXCLUDED_NO_LANDED_RELATION_ROWS,The sample has no rows in RELATION_EXTRACTION_RECORDS_v2_3.csv; the landed adapter therefore has no relation record to join.,sample_id present in landed relation table AND all relation SHA-256 values equal the v2.6 manifest SHA-256,DERIVED_EVIDENCE
SERVER46613-AFFECTED-CLANG-O0-S,e8bdb9007bd194fd82c46e67bdffbc5e0607220f716feedfd831e6baf1a0287f,server46613,CVE-2025-46613,clang,O0,stripped,affected,Advanced Micro Devices X86-64,0,0,NOT_APPLICABLE,EXCLUDED_NO_LANDED_RELATION_ROWS,The sample has no rows in RELATION_EXTRACTION_RECORDS_v2_3.csv; the landed adapter therefore has no relation record to join.,sample_id present in landed relation table AND all relation SHA-256 values equal the v2.6 manifest SHA-256,DERIVED_EVIDENCE
SERVER46613-AFFECTED-CLANG-O0-U,8a1b57ae4e622090c1e6d4981322ef704b44af25c464f548da5bf8373b5c71a8,server46613,CVE-2025-46613,clang,O0,unstripped,affected,Advanced Micro Devices X86-64,0,0,NOT_APPLICABLE,EXCLUDED_NO_LANDED_RELATION_ROWS,The sample has no rows in RELATION_EXTRACTION_RECORDS_v2_3.csv; the landed adapter therefore has no relation record to join.,sample_id present in landed relation table AND all relation SHA-256 values equal the v2.6 manifest SHA-256,DERIVED_EVIDENCE
SERVER46613-AFFECTED-CLANG-O2-S,5f720b06ef6aaad964c9614457293179c2745eae176eb82b5bf44dfc64c17bf4,server46613,CVE-2025-46613,clang,O2,stripped,affected,Advanced Micro Devices X86-64,0,0,NOT_APPLICABLE,EXCLUDED_NO_LANDED_RELATION_ROWS,The sample has no rows in RELATION_EXTRACTION_RECORDS_v2_3.csv; the landed adapter therefore has no relation record to join.,sample_id present in landed relation table AND all relation SHA-256 values equal the v2.6 manifest SHA-256,DERIVED_EVIDENCE
SERVER46613-AFFECTED-CLANG-O2-U,6a523c681f9208e625e3c45bdf72be3deb8a20987655e53d410694b394b69360,server46613,CVE-2025-46613,clang,O2,unstripped,affected,Advanced Micro Devices X86-64,0,0,NOT_APPLICABLE,EXCLUDED_NO_LANDED_RELATION_ROWS,The sample has no rows in RELATION_EXTRACTION_RECORDS_v2_3.csv; the landed adapter therefore has no relation record to join.,sample_id present in landed relation table AND all relation SHA-256 values equal the v2.6 manifest SHA-256,DERIVED_EVIDENCE
SERVER46613-AFFECTED-GCC-O0-S,fc9c1bcd56020066cb13d7fb68e74901996882e5dd80f08d73497113e1abf1d6,server46613,CVE-2025-46613,gcc,O0,stripped,affected,Advanced Micro Devices X86-64,95,8,MATCH,INCLUDED_RELATION_BACKED_CARD_INPUT,NOT_APPLICABLE,sample_id present in landed relation table AND all relation SHA-256 values equal the v2.6 manifest SHA-256,DERIVED_EVIDENCE
SERVER46613-AFFECTED-GCC-O0-U,416d871ff0ba6a327f1a5814fb063fcb23bd68e1498a1fa01687277841f2980c,server46613,CVE-2025-46613,gcc,O0,unstripped,affected,Advanced Micro Devices X86-64,0,0,NOT_APPLICABLE,EXCLUDED_NO_LANDED_RELATION_ROWS,The sample has no rows in RELATION_EXTRACTION_RECORDS_v2_3.csv; the landed adapter therefore has no relation record to join.,sample_id present in landed relation table AND all relation SHA-256 values equal the v2.6 manifest SHA-256,DERIVED_EVIDENCE
SERVER46613-AFFECTED-GCC-O2-S,6aa3af79402ea0ce8f253aa1dc42fac99104af8546d0410861dc1cbaec69a864,server46613,CVE-2025-46613,gcc,O2,stripped,affected,Advanced Micro Devices X86-64,0,0,NOT_APPLICABLE,EXCLUDED_NO_LANDED_RELATION_ROWS,The sample has no rows in RELATION_EXTRACTION_RECORDS_v2_3.csv; the landed adapter therefore has no relation record to join.,sample_id present in landed relation table AND all relation SHA-256 values equal the v2.6 manifest SHA-256,DERIVED_EVIDENCE
SERVER46613-AFFECTED-GCC-O2-U,d61ff1868108a5778013079a21dee7cb62d9a8b7af1489aa329143af3ddce82f,server46613,CVE-2025-46613,gcc,O2,unstripped,affected,Advanced Micro Devices X86-64,0,0,NOT_APPLICABLE,EXCLUDED_NO_LANDED_RELATION_ROWS,The sample has no rows in RELATION_EXTRACTION_RECORDS_v2_3.csv; the landed adapter therefore has no relation record to join.,sample_id present in landed relation table AND all relation SHA-256 values equal the v2.6 manifest SHA-256,DERIVED_EVIDENCE
V22-RETAINED-OPENPLC-ENIP-PATCHLINKED-O0-S,8870f69c70ea05d5e381a82ce4420039b69317e609cde5edbb47314591589bb8,enip34026_v2_2_retained,CVE-2024-34026,gcc,O0,stripped,patchlinked,Advanced Micro Devices X86-64,0,0,NOT_APPLICABLE,EXCLUDED_NO_LANDED_RELATION_ROWS,The sample has no rows in RELATION_EXTRACTION_RECORDS_v2_3.csv; the landed adapter therefore has no relation record to join.,sample_id present in landed relation table AND all relation SHA-256 values equal the v2.6 manifest SHA-256,DERIVED_EVIDENCE
V22-RETAINED-OPENPLC-ENIP-PATCHLINKED-O0-U,52240fcdd2609cdf749fb98d6751c876032771f49c3b4d10b7c0ac85afa8ef55,enip34026_v2_2_retained,CVE-2024-34026,gcc,O0,unstripped,patchlinked,Advanced Micro Devices X86-64,0,0,NOT_APPLICABLE,EXCLUDED_NO_LANDED_RELATION_ROWS,The sample has no rows in RELATION_EXTRACTION_RECORDS_v2_3.csv; the landed adapter therefore has no relation record to join.,sample_id present in landed relation table AND all relation SHA-256 values equal the v2.6 manifest SHA-256,DERIVED_EVIDENCE
V22-RETAINED-OPENPLC-ENIP-PATCHLINKED-O2-S,a57769229f00c02747d173ff2868adc569b7e537fc5779033ea1e2a6dd8f749d,enip34026_v2_2_retained,CVE-2024-34026,gcc,O2,stripped,patchlinked,Advanced Micro Devices X86-64,0,0,NOT_APPLICABLE,EXCLUDED_NO_LANDED_RELATION_ROWS,The sample has no rows in RELATION_EXTRACTION_RECORDS_v2_3.csv; the landed adapter therefore has no relation record to join.,sample_id present in landed relation table AND all relation SHA-256 values equal the v2.6 manifest SHA-256,DERIVED_EVIDENCE
V22-RETAINED-OPENPLC-ENIP-PATCHLINKED-O2-U,9c4c80d67e4c8f205eac570e54bfdb457cb3200385265574066293bab4b623c9,enip34026_v2_2_retained,CVE-2024-34026,gcc,O2,unstripped,patchlinked,Advanced Micro Devices X86-64,0,0,NOT_APPLICABLE,EXCLUDED_NO_LANDED_RELATION_ROWS,The sample has no rows in RELATION_EXTRACTION_RECORDS_v2_3.csv; the landed adapter therefore has no relation record to join.,sample_id present in landed relation table AND all relation SHA-256 values equal the v2.6 manifest SHA-256,DERIVED_EVIDENCE
V22-RETAINED-OPENPLC-ENIP-VULNERABLE-O0-S,8b0bc5009cdddec4d18ae011b0072ce9da7d8237ab04c8ae545e302539dbad1d,enip34026_v2_2_retained,CVE-2024-34026,gcc,O0,stripped,affected,Advanced Micro Devices X86-64,0,0,NOT_APPLICABLE,EXCLUDED_NO_LANDED_RELATION_ROWS,The sample has no rows in RELATION_EXTRACTION_RECORDS_v2_3.csv; the landed adapter therefore has no relation record to join.,sample_id present in landed relation table AND all relation SHA-256 values equal the v2.6 manifest SHA-256,DERIVED_EVIDENCE
