uncertainty_id,fold_id,sample_id,toolchain,split_membership,codesys_flag,binary_sha256,affected_field,uncertainty_code,severity,recoverability,evidence_trace,notes,evidence_label
codesys_AGDF::EC1::U01::1,fold_0,codesys_AGDF,CODESYS,train,codesys,ef5cf0ad12ba620fbe5281e252c16c041e98f2cff62d70e3f7938e77fd6959e4,EC1,U01,blocking,blocked_by_format,ALL_POPULATION_SAMPLE_FEATURES.csv:codesys_AGDF:EC1,CODESYS app container not parsed by V2 prototype,DERIVED_EVIDENCE
codesys_AGDF::EC2::U01::2,fold_0,codesys_AGDF,CODESYS,train,codesys,ef5cf0ad12ba620fbe5281e252c16c041e98f2cff62d70e3f7938e77fd6959e4,EC2,U01,blocking,blocked_by_format,ALL_POPULATION_SAMPLE_FEATURES.csv:codesys_AGDF:EC2,core logic not recoverable from V2 row,DERIVED_EVIDENCE
codesys_AGDF::EC3::U11::3,fold_0,codesys_AGDF,CODESYS,train,codesys,ef5cf0ad12ba620fbe5281e252c16c041e98f2cff62d70e3f7938e77fd6959e4,EC3,U11,high,blocked_by_format,ALL_POPULATION_SAMPLE_FEATURES.csv:codesys_AGDF:EC3,semantic facts unavailable from V2 row,DERIVED_EVIDENCE
codesys_AGDF::EC4::U13::4,fold_0,codesys_AGDF,CODESYS,train,codesys,ef5cf0ad12ba620fbe5281e252c16c041e98f2cff62d70e3f7938e77fd6959e4,EC4,U13,medium,needs_manual_review,ALL_POPULATION_SAMPLE_FEATURES.csv:codesys_AGDF:EC4,CODESYS remains state-evidence pending recovery,DERIVED_EVIDENCE
codesys_AGDF::EC5::U02::5,fold_0,codesys_AGDF,CODESYS,train,codesys,ef5cf0ad12ba620fbe5281e252c16c041e98f2cff62d70e3f7938e77fd6959e4,EC5,U02,high,blocked_by_format,ALL_POPULATION_SAMPLE_FEATURES.csv:codesys_AGDF:EC5,relation graph limited to uncertainty/card edges,DERIVED_EVIDENCE
codesys_AIN::EC1::U01::1,fold_0,codesys_AIN,CODESYS,test,codesys,3ac35e88d71207c5fa7912e9bee34bf2148e3630edd2b603b877e0098690cb07,EC1,U01,blocking,blocked_by_format,ALL_POPULATION_SAMPLE_FEATURES.csv:codesys_AIN:EC1,CODESYS app container not parsed by V2 prototype,DERIVED_EVIDENCE
codesys_AIN::EC2::U01::2,fold_0,codesys_AIN,CODESYS,test,codesys,3ac35e88d71207c5fa7912e9bee34bf2148e3630edd2b603b877e0098690cb07,EC2,U01,blocking,blocked_by_format,ALL_POPULATION_SAMPLE_FEATURES.csv:codesys_AIN:EC2,core logic not recoverable from V2 row,DERIVED_EVIDENCE
codesys_AIN::EC3::U11::3,fold_0,codesys_AIN,CODESYS,test,codesys,3ac35e88d71207c5fa7912e9bee34bf2148e3630edd2b603b877e0098690cb07,EC3,U11,high,blocked_by_format,ALL_POPULATION_SAMPLE_FEATURES.csv:codesys_AIN:EC3,semantic facts unavailable from V2 row,DERIVED_EVIDENCE
codesys_AIN::EC4::U13::4,fold_0,codesys_AIN,CODESYS,test,codesys,3ac35e88d71207c5fa7912e9bee34bf2148e3630edd2b603b877e0098690cb07,EC4,U13,medium,needs_manual_review,ALL_POPULATION_SAMPLE_FEATURES.csv:codesys_AIN:EC4,CODESYS remains state-evidence pending recovery,DERIVED_EVIDENCE
codesys_AIN::EC5::U02::5,fold_0,codesys_AIN,CODESYS,test,codesys,3ac35e88d71207c5fa7912e9bee34bf2148e3630edd2b603b877e0098690cb07,EC5,U02,high,blocked_by_format,ALL_POPULATION_SAMPLE_FEATURES.csv:codesys_AIN:EC5,relation graph limited to uncertainty/card edges,DERIVED_EVIDENCE
codesys_AIN1::EC1::U01::1,fold_0,codesys_AIN1,CODESYS,train,codesys,ed01d4e17eb8cf5b293b3953c4edc732f4c95afdf784c57d8686acdcfb87908f,EC1,U01,blocking,blocked_by_format,ALL_POPULATION_SAMPLE_FEATURES.csv:codesys_AIN1:EC1,CODESYS app container not parsed by V2 prototype,DERIVED_EVIDENCE
codesys_AIN1::EC2::U01::2,fold_0,codesys_AIN1,CODESYS,train,codesys,ed01d4e17eb8cf5b293b3953c4edc732f4c95afdf784c57d8686acdcfb87908f,EC2,U01,blocking,blocked_by_format,ALL_POPULATION_SAMPLE_FEATURES.csv:codesys_AIN1:EC2,core logic not recoverable from V2 row,DERIVED_EVIDENCE
codesys_AIN1::EC3::U11::3,fold_0,codesys_AIN1,CODESYS,train,codesys,ed01d4e17eb8cf5b293b3953c4edc732f4c95afdf784c57d8686acdcfb87908f,EC3,U11,high,blocked_by_format,ALL_POPULATION_SAMPLE_FEATURES.csv:codesys_AIN1:EC3,semantic facts unavailable from V2 row,DERIVED_EVIDENCE
codesys_AIN1::EC4::U13::4,fold_0,codesys_AIN1,CODESYS,train,codesys,ed01d4e17eb8cf5b293b3953c4edc732f4c95afdf784c57d8686acdcfb87908f,EC4,U13,medium,needs_manual_review,ALL_POPULATION_SAMPLE_FEATURES.csv:codesys_AIN1:EC4,CODESYS remains state-evidence pending recovery,DERIVED_EVIDENCE
codesys_AIN1::EC5::U02::5,fold_0,codesys_AIN1,CODESYS,train,codesys,ed01d4e17eb8cf5b293b3953c4edc732f4c95afdf784c57d8686acdcfb87908f,EC5,U02,high,blocked_by_format,ALL_POPULATION_SAMPLE_FEATURES.csv:codesys_AIN1:EC5,relation graph limited to uncertainty/card edges,DERIVED_EVIDENCE
codesys_ALARM_2::EC1::U01::1,fold_0,codesys_ALARM_2,CODESYS,test,codesys,533fad98cdc72890c298e432167029cd4966504b2b8261e5d9ffc37eb590f44d,EC1,U01,blocking,blocked_by_format,ALL_POPULATION_SAMPLE_FEATURES.csv:codesys_ALARM_2:EC1,CODESYS app container not parsed by V2 prototype,DERIVED_EVIDENCE
codesys_ALARM_2::EC2::U01::2,fold_0,codesys_ALARM_2,CODESYS,test,codesys,533fad98cdc72890c298e432167029cd4966504b2b8261e5d9ffc37eb590f44d,EC2,U01,blocking,blocked_by_format,ALL_POPULATION_SAMPLE_FEATURES.csv:codesys_ALARM_2:EC2,core logic not recoverable from V2 row,DERIVED_EVIDENCE
codesys_ALARM_2::EC3::U11::3,fold_0,codesys_ALARM_2,CODESYS,test,codesys,533fad98cdc72890c298e432167029cd4966504b2b8261e5d9ffc37eb590f44d,EC3,U11,high,blocked_by_format,ALL_POPULATION_SAMPLE_FEATURES.csv:codesys_ALARM_2:EC3,semantic facts unavailable from V2 row,DERIVED_EVIDENCE
codesys_ALARM_2::EC4::U13::4,fold_0,codesys_ALARM_2,CODESYS,test,codesys,533fad98cdc72890c298e432167029cd4966504b2b8261e5d9ffc37eb590f44d,EC4,U13,medium,needs_manual_review,ALL_POPULATION_SAMPLE_FEATURES.csv:codesys_ALARM_2:EC4,CODESYS remains state-evidence pending recovery,DERIVED_EVIDENCE
codesys_ALARM_2::EC5::U02::5,fold_0,codesys_ALARM_2,CODESYS,test,codesys,533fad98cdc72890c298e432167029cd4966504b2b8261e5d9ffc37eb590f44d,EC5,U02,high,blocked_by_format,ALL_POPULATION_SAMPLE_FEATURES.csv:codesys_ALARM_2:EC5,relation graph limited to uncertainty/card edges,DERIVED_EVIDENCE
codesys_AOUT::EC1::U01::1,fold_0,codesys_AOUT,CODESYS,train,codesys,c8c113d56d59de2a063de16cc1ca75a2e8ba0240169a59c715e16df77763a260,EC1,U01,blocking,blocked_by_format,ALL_POPULATION_SAMPLE_FEATURES.csv:codesys_AOUT:EC1,CODESYS app container not parsed by V2 prototype,DERIVED_EVIDENCE
codesys_AOUT::EC2::U01::2,fold_0,codesys_AOUT,CODESYS,train,codesys,c8c113d56d59de2a063de16cc1ca75a2e8ba0240169a59c715e16df77763a260,EC2,U01,blocking,blocked_by_format,ALL_POPULATION_SAMPLE_FEATURES.csv:codesys_AOUT:EC2,core logic not recoverable from V2 row,DERIVED_EVIDENCE
codesys_AOUT::EC3::U11::3,fold_0,codesys_AOUT,CODESYS,train,codesys,c8c113d56d59de2a063de16cc1ca75a2e8ba0240169a59c715e16df77763a260,EC3,U11,high,blocked_by_format,ALL_POPULATION_SAMPLE_FEATURES.csv:codesys_AOUT:EC3,semantic facts unavailable from V2 row,DERIVED_EVIDENCE
codesys_AOUT::EC4::U13::4,fold_0,codesys_AOUT,CODESYS,train,codesys,c8c113d56d59de2a063de16cc1ca75a2e8ba0240169a59c715e16df77763a260,EC4,U13,medium,needs_manual_review,ALL_POPULATION_SAMPLE_FEATURES.csv:codesys_AOUT:EC4,CODESYS remains state-evidence pending recovery,DERIVED_EVIDENCE
codesys_AOUT::EC5::U02::5,fold_0,codesys_AOUT,CODESYS,train,codesys,c8c113d56d59de2a063de16cc1ca75a2e8ba0240169a59c715e16df77763a260,EC5,U02,high,blocked_by_format,ALL_POPULATION_SAMPLE_FEATURES.csv:codesys_AOUT:EC5,relation graph limited to uncertainty/card edges,DERIVED_EVIDENCE
codesys_AOUT1::EC1::U01::1,fold_0,codesys_AOUT1,CODESYS,train,codesys,7a676dd399ca63963fa30ebcbf10fa1d7d7748f9e1f5ecde2fde2e369e4fb666,EC1,U01,blocking,blocked_by_format,ALL_POPULATION_SAMPLE_FEATURES.csv:codesys_AOUT1:EC1,CODESYS app container not parsed by V2 prototype,DERIVED_EVIDENCE
codesys_AOUT1::EC2::U01::2,fold_0,codesys_AOUT1,CODESYS,train,codesys,7a676dd399ca63963fa30ebcbf10fa1d7d7748f9e1f5ecde2fde2e369e4fb666,EC2,U01,blocking,blocked_by_format,ALL_POPULATION_SAMPLE_FEATURES.csv:codesys_AOUT1:EC2,core logic not recoverable from V2 row,DERIVED_EVIDENCE
codesys_AOUT1::EC3::U11::3,fold_0,codesys_AOUT1,CODESYS,train,codesys,7a676dd399ca63963fa30ebcbf10fa1d7d7748f9e1f5ecde2fde2e369e4fb666,EC3,U11,high,blocked_by_format,ALL_POPULATION_SAMPLE_FEATURES.csv:codesys_AOUT1:EC3,semantic facts unavailable from V2 row,DERIVED_EVIDENCE
codesys_AOUT1::EC4::U13::4,fold_0,codesys_AOUT1,CODESYS,train,codesys,7a676dd399ca63963fa30ebcbf10fa1d7d7748f9e1f5ecde2fde2e369e4fb666,EC4,U13,medium,needs_manual_review,ALL_POPULATION_SAMPLE_FEATURES.csv:codesys_AOUT1:EC4,CODESYS remains state-evidence pending recovery,DERIVED_EVIDENCE
codesys_AOUT1::EC5::U02::5,fold_0,codesys_AOUT1,CODESYS,train,codesys,7a676dd399ca63963fa30ebcbf10fa1d7d7748f9e1f5ecde2fde2e369e4fb666,EC5,U02,high,blocked_by_format,ALL_POPULATION_SAMPLE_FEATURES.csv:codesys_AOUT1:EC5,relation graph limited to uncertainty/card edges,DERIVED_EVIDENCE
codesys_ARRAY_AVG::EC1::U01::1,fold_0,codesys_ARRAY_AVG,CODESYS,train,codesys,4f899f3a7a2aff8036c43012b94f3805c6b64cf0f507c37e6b117f416fcb21d7,EC1,U01,blocking,blocked_by_format,ALL_POPULATION_SAMPLE_FEATURES.csv:codesys_ARRAY_AVG:EC1,CODESYS app container not parsed by V2 prototype,DERIVED_EVIDENCE
codesys_ARRAY_AVG::EC2::U01::2,fold_0,codesys_ARRAY_AVG,CODESYS,train,codesys,4f899f3a7a2aff8036c43012b94f3805c6b64cf0f507c37e6b117f416fcb21d7,EC2,U01,blocking,blocked_by_format,ALL_POPULATION_SAMPLE_FEATURES.csv:codesys_ARRAY_AVG:EC2,core logic not recoverable from V2 row,DERIVED_EVIDENCE
codesys_ARRAY_AVG::EC3::U11::3,fold_0,codesys_ARRAY_AVG,CODESYS,train,codesys,4f899f3a7a2aff8036c43012b94f3805c6b64cf0f507c37e6b117f416fcb21d7,EC3,U11,high,blocked_by_format,ALL_POPULATION_SAMPLE_FEATURES.csv:codesys_ARRAY_AVG:EC3,semantic facts unavailable from V2 row,DERIVED_EVIDENCE
codesys_ARRAY_AVG::EC4::U13::4,fold_0,codesys_ARRAY_AVG,CODESYS,train,codesys,4f899f3a7a2aff8036c43012b94f3805c6b64cf0f507c37e6b117f416fcb21d7,EC4,U13,medium,needs_manual_review,ALL_POPULATION_SAMPLE_FEATURES.csv:codesys_ARRAY_AVG:EC4,CODESYS remains state-evidence pending recovery,DERIVED_EVIDENCE
codesys_ARRAY_AVG::EC5::U02::5,fold_0,codesys_ARRAY_AVG,CODESYS,train,codesys,4f899f3a7a2aff8036c43012b94f3805c6b64cf0f507c37e6b117f416fcb21d7,EC5,U02,high,blocked_by_format,ALL_POPULATION_SAMPLE_FEATURES.csv:codesys_ARRAY_AVG:EC5,relation graph limited to uncertainty/card edges,DERIVED_EVIDENCE
codesys_ARRAY_GAV::EC1::U01::1,fold_0,codesys_ARRAY_GAV,CODESYS,train,codesys,eec05ccd4353e772ded2f9c3d820ff4abfa64de4cd300527c2e6e3a89656e870,EC1,U01,blocking,blocked_by_format,ALL_POPULATION_SAMPLE_FEATURES.csv:codesys_ARRAY_GAV:EC1,CODESYS app container not parsed by V2 prototype,DERIVED_EVIDENCE
codesys_ARRAY_GAV::EC2::U01::2,fold_0,codesys_ARRAY_GAV,CODESYS,train,codesys,eec05ccd4353e772ded2f9c3d820ff4abfa64de4cd300527c2e6e3a89656e870,EC2,U01,blocking,blocked_by_format,ALL_POPULATION_SAMPLE_FEATURES.csv:codesys_ARRAY_GAV:EC2,core logic not recoverable from V2 row,DERIVED_EVIDENCE
codesys_ARRAY_GAV::EC3::U11::3,fold_0,codesys_ARRAY_GAV,CODESYS,train,codesys,eec05ccd4353e772ded2f9c3d820ff4abfa64de4cd300527c2e6e3a89656e870,EC3,U11,high,blocked_by_format,ALL_POPULATION_SAMPLE_FEATURES.csv:codesys_ARRAY_GAV:EC3,semantic facts unavailable from V2 row,DERIVED_EVIDENCE
codesys_ARRAY_GAV::EC4::U13::4,fold_0,codesys_ARRAY_GAV,CODESYS,train,codesys,eec05ccd4353e772ded2f9c3d820ff4abfa64de4cd300527c2e6e3a89656e870,EC4,U13,medium,needs_manual_review,ALL_POPULATION_SAMPLE_FEATURES.csv:codesys_ARRAY_GAV:EC4,CODESYS remains state-evidence pending recovery,DERIVED_EVIDENCE
codesys_ARRAY_GAV::EC5::U02::5,fold_0,codesys_ARRAY_GAV,CODESYS,train,codesys,eec05ccd4353e772ded2f9c3d820ff4abfa64de4cd300527c2e6e3a89656e870,EC5,U02,high,blocked_by_format,ALL_POPULATION_SAMPLE_FEATURES.csv:codesys_ARRAY_GAV:EC5,relation graph limited to uncertainty/card edges,DERIVED_EVIDENCE
codesys_ARRAY_HAV::EC1::U01::1,fold_0,codesys_ARRAY_HAV,CODESYS,train,codesys,0dd8b65c2fc97300eb57d5e0bdb68b81f9b6ca9607a8686c3705f2e19bf9721d,EC1,U01,blocking,blocked_by_format,ALL_POPULATION_SAMPLE_FEATURES.csv:codesys_ARRAY_HAV:EC1,CODESYS app container not parsed by V2 prototype,DERIVED_EVIDENCE
codesys_ARRAY_HAV::EC2::U01::2,fold_0,codesys_ARRAY_HAV,CODESYS,train,codesys,0dd8b65c2fc97300eb57d5e0bdb68b81f9b6ca9607a8686c3705f2e19bf9721d,EC2,U01,blocking,blocked_by_format,ALL_POPULATION_SAMPLE_FEATURES.csv:codesys_ARRAY_HAV:EC2,core logic not recoverable from V2 row,DERIVED_EVIDENCE
codesys_ARRAY_HAV::EC3::U11::3,fold_0,codesys_ARRAY_HAV,CODESYS,train,codesys,0dd8b65c2fc97300eb57d5e0bdb68b81f9b6ca9607a8686c3705f2e19bf9721d,EC3,U11,high,blocked_by_format,ALL_POPULATION_SAMPLE_FEATURES.csv:codesys_ARRAY_HAV:EC3,semantic facts unavailable from V2 row,DERIVED_EVIDENCE
codesys_ARRAY_HAV::EC4::U13::4,fold_0,codesys_ARRAY_HAV,CODESYS,train,codesys,0dd8b65c2fc97300eb57d5e0bdb68b81f9b6ca9607a8686c3705f2e19bf9721d,EC4,U13,medium,needs_manual_review,ALL_POPULATION_SAMPLE_FEATURES.csv:codesys_ARRAY_HAV:EC4,CODESYS remains state-evidence pending recovery,DERIVED_EVIDENCE
codesys_ARRAY_HAV::EC5::U02::5,fold_0,codesys_ARRAY_HAV,CODESYS,train,codesys,0dd8b65c2fc97300eb57d5e0bdb68b81f9b6ca9607a8686c3705f2e19bf9721d,EC5,U02,high,blocked_by_format,ALL_POPULATION_SAMPLE_FEATURES.csv:codesys_ARRAY_HAV:EC5,relation graph limited to uncertainty/card edges,DERIVED_EVIDENCE
codesys_ARRAY_MAX::EC1::U01::1,fold_0,codesys_ARRAY_MAX,CODESYS,test,codesys,be0504e27ac18e0b9d95e4b766190f27c287850c037fa19737a69a687ca43d16,EC1,U01,blocking,blocked_by_format,ALL_POPULATION_SAMPLE_FEATURES.csv:codesys_ARRAY_MAX:EC1,CODESYS app container not parsed by V2 prototype,DERIVED_EVIDENCE
codesys_ARRAY_MAX::EC2::U01::2,fold_0,codesys_ARRAY_MAX,CODESYS,test,codesys,be0504e27ac18e0b9d95e4b766190f27c287850c037fa19737a69a687ca43d16,EC2,U01,blocking,blocked_by_format,ALL_POPULATION_SAMPLE_FEATURES.csv:codesys_ARRAY_MAX:EC2,core logic not recoverable from V2 row,DERIVED_EVIDENCE
codesys_ARRAY_MAX::EC3::U11::3,fold_0,codesys_ARRAY_MAX,CODESYS,test,codesys,be0504e27ac18e0b9d95e4b766190f27c287850c037fa19737a69a687ca43d16,EC3,U11,high,blocked_by_format,ALL_POPULATION_SAMPLE_FEATURES.csv:codesys_ARRAY_MAX:EC3,semantic facts unavailable from V2 row,DERIVED_EVIDENCE
codesys_ARRAY_MAX::EC4::U13::4,fold_0,codesys_ARRAY_MAX,CODESYS,test,codesys,be0504e27ac18e0b9d95e4b766190f27c287850c037fa19737a69a687ca43d16,EC4,U13,medium,needs_manual_review,ALL_POPULATION_SAMPLE_FEATURES.csv:codesys_ARRAY_MAX:EC4,CODESYS remains state-evidence pending recovery,DERIVED_EVIDENCE
codesys_ARRAY_MAX::EC5::U02::5,fold_0,codesys_ARRAY_MAX,CODESYS,test,codesys,be0504e27ac18e0b9d95e4b766190f27c287850c037fa19737a69a687ca43d16,EC5,U02,high,blocked_by_format,ALL_POPULATION_SAMPLE_FEATURES.csv:codesys_ARRAY_MAX:EC5,relation graph limited to uncertainty/card edges,DERIVED_EVIDENCE
codesys_ARRAY_MIN::EC1::U01::1,fold_0,codesys_ARRAY_MIN,CODESYS,train,codesys,8af950a85fa1a319d740e7c21007b4471fe3862786570bdbd3a6a5a19fa68a13,EC1,U01,blocking,blocked_by_format,ALL_POPULATION_SAMPLE_FEATURES.csv:codesys_ARRAY_MIN:EC1,CODESYS app container not parsed by V2 prototype,DERIVED_EVIDENCE
codesys_ARRAY_MIN::EC2::U01::2,fold_0,codesys_ARRAY_MIN,CODESYS,train,codesys,8af950a85fa1a319d740e7c21007b4471fe3862786570bdbd3a6a5a19fa68a13,EC2,U01,blocking,blocked_by_format,ALL_POPULATION_SAMPLE_FEATURES.csv:codesys_ARRAY_MIN:EC2,core logic not recoverable from V2 row,DERIVED_EVIDENCE
codesys_ARRAY_MIN::EC3::U11::3,fold_0,codesys_ARRAY_MIN,CODESYS,train,codesys,8af950a85fa1a319d740e7c21007b4471fe3862786570bdbd3a6a5a19fa68a13,EC3,U11,high,blocked_by_format,ALL_POPULATION_SAMPLE_FEATURES.csv:codesys_ARRAY_MIN:EC3,semantic facts unavailable from V2 row,DERIVED_EVIDENCE
codesys_ARRAY_MIN::EC4::U13::4,fold_0,codesys_ARRAY_MIN,CODESYS,train,codesys,8af950a85fa1a319d740e7c21007b4471fe3862786570bdbd3a6a5a19fa68a13,EC4,U13,medium,needs_manual_review,ALL_POPULATION_SAMPLE_FEATURES.csv:codesys_ARRAY_MIN:EC4,CODESYS remains state-evidence pending recovery,DERIVED_EVIDENCE
codesys_ARRAY_MIN::EC5::U02::5,fold_0,codesys_ARRAY_MIN,CODESYS,train,codesys,8af950a85fa1a319d740e7c21007b4471fe3862786570bdbd3a6a5a19fa68a13,EC5,U02,high,blocked_by_format,ALL_POPULATION_SAMPLE_FEATURES.csv:codesys_ARRAY_MIN:EC5,relation graph limited to uncertainty/card edges,DERIVED_EVIDENCE
codesys_ARRAY_SDV::EC1::U01::1,fold_0,codesys_ARRAY_SDV,CODESYS,train,codesys,87352a86431cb008519d22c4250ba9abe3eabe6c428dec1686bd4b931472294a,EC1,U01,blocking,blocked_by_format,ALL_POPULATION_SAMPLE_FEATURES.csv:codesys_ARRAY_SDV:EC1,CODESYS app container not parsed by V2 prototype,DERIVED_EVIDENCE
codesys_ARRAY_SDV::EC2::U01::2,fold_0,codesys_ARRAY_SDV,CODESYS,train,codesys,87352a86431cb008519d22c4250ba9abe3eabe6c428dec1686bd4b931472294a,EC2,U01,blocking,blocked_by_format,ALL_POPULATION_SAMPLE_FEATURES.csv:codesys_ARRAY_SDV:EC2,core logic not recoverable from V2 row,DERIVED_EVIDENCE
codesys_ARRAY_SDV::EC3::U11::3,fold_0,codesys_ARRAY_SDV,CODESYS,train,codesys,87352a86431cb008519d22c4250ba9abe3eabe6c428dec1686bd4b931472294a,EC3,U11,high,blocked_by_format,ALL_POPULATION_SAMPLE_FEATURES.csv:codesys_ARRAY_SDV:EC3,semantic facts unavailable from V2 row,DERIVED_EVIDENCE
codesys_ARRAY_SDV::EC4::U13::4,fold_0,codesys_ARRAY_SDV,CODESYS,train,codesys,87352a86431cb008519d22c4250ba9abe3eabe6c428dec1686bd4b931472294a,EC4,U13,medium,needs_manual_review,ALL_POPULATION_SAMPLE_FEATURES.csv:codesys_ARRAY_SDV:EC4,CODESYS remains state-evidence pending recovery,DERIVED_EVIDENCE
codesys_ARRAY_SDV::EC5::U02::5,fold_0,codesys_ARRAY_SDV,CODESYS,train,codesys,87352a86431cb008519d22c4250ba9abe3eabe6c428dec1686bd4b931472294a,EC5,U02,high,blocked_by_format,ALL_POPULATION_SAMPLE_FEATURES.csv:codesys_ARRAY_SDV:EC5,relation graph limited to uncertainty/card edges,DERIVED_EVIDENCE
codesys_ARRAY_SPR::EC1::U01::1,fold_0,codesys_ARRAY_SPR,CODESYS,train,codesys,788bee74d6bb79c53f0a209e4a95fc08a26679d2578215cb76180a500294242a,EC1,U01,blocking,blocked_by_format,ALL_POPULATION_SAMPLE_FEATURES.csv:codesys_ARRAY_SPR:EC1,CODESYS app container not parsed by V2 prototype,DERIVED_EVIDENCE
codesys_ARRAY_SPR::EC2::U01::2,fold_0,codesys_ARRAY_SPR,CODESYS,train,codesys,788bee74d6bb79c53f0a209e4a95fc08a26679d2578215cb76180a500294242a,EC2,U01,blocking,blocked_by_format,ALL_POPULATION_SAMPLE_FEATURES.csv:codesys_ARRAY_SPR:EC2,core logic not recoverable from V2 row,DERIVED_EVIDENCE
codesys_ARRAY_SPR::EC3::U11::3,fold_0,codesys_ARRAY_SPR,CODESYS,train,codesys,788bee74d6bb79c53f0a209e4a95fc08a26679d2578215cb76180a500294242a,EC3,U11,high,blocked_by_format,ALL_POPULATION_SAMPLE_FEATURES.csv:codesys_ARRAY_SPR:EC3,semantic facts unavailable from V2 row,DERIVED_EVIDENCE
codesys_ARRAY_SPR::EC4::U13::4,fold_0,codesys_ARRAY_SPR,CODESYS,train,codesys,788bee74d6bb79c53f0a209e4a95fc08a26679d2578215cb76180a500294242a,EC4,U13,medium,needs_manual_review,ALL_POPULATION_SAMPLE_FEATURES.csv:codesys_ARRAY_SPR:EC4,CODESYS remains state-evidence pending recovery,DERIVED_EVIDENCE
codesys_ARRAY_SPR::EC5::U02::5,fold_0,codesys_ARRAY_SPR,CODESYS,train,codesys,788bee74d6bb79c53f0a209e4a95fc08a26679d2578215cb76180a500294242a,EC5,U02,high,blocked_by_format,ALL_POPULATION_SAMPLE_FEATURES.csv:codesys_ARRAY_SPR:EC5,relation graph limited to uncertainty/card edges,DERIVED_EVIDENCE
