sample_id,program_name,toolchain,fold_id,source_match_status,source_file_count,source_paths_rel,source_sha256,source_function_block_names,source_function_names,source_program_names,source_oracle_function_block,production_sa001_positive,ungated_pattern_positive,ungated_confusion_category,oracle_definition,rule_definition,evidence_label,uncertainty_reason
geb_AIR_ENTHALPY,AIR_ENTHALPY,GEB,fold_6,UNIQUE,1,AICPS-PLCBEAD_PLCEmbed-c78a56f/PLC-BEAD/Source/GEB/building_AIR_ENTHALPY/AIR_ENTHALPY.ST,b57847695badb4b3b3ebc56ebbd126473ae1ceca8ea88d5c08349ad29a91a51d,,AIR_ENTHALPY;DEW_CON;SDD,program0,False,False,False,TN,explicit FUNCTION_BLOCK declaration in mapped Structured Text source,production: GEB-scoped dt_FB_; probe: ungated core_symbol_text contains dt_FB_,DERIVED_EVIDENCE,
geb_ALARM_2,ALARM_2,GEB,fold_0,UNIQUE,1,AICPS-PLCBEAD_PLCEmbed-c78a56f/PLC-BEAD/Source/GEB/ALARM_2/ALARM_2.ST,494dd0d072316212707272f52e53b80c8241b7bd7b0d44c2224e47ca89aa5d2e,ALARM_2,,program0,True,True,True,TP,explicit FUNCTION_BLOCK declaration in mapped Structured Text source,production: GEB-scoped dt_FB_; probe: ungated core_symbol_text contains dt_FB_,DERIVED_EVIDENCE,
geb_AOUT,AOUT,GEB,fold_2,UNIQUE,1,AICPS-PLCBEAD_PLCEmbed-c78a56f/PLC-BEAD/Source/GEB/AOUT/AOUT.ST,bb5aebd88d73b9faecc3fe2a72bf0b173659c896ddb65caa3044b31e54d63e87,,AOUT;SIGN_R;_BYTE_TO_INT;_DWORD_TO_REAL;_REAL_TO_DWORD,program0,False,False,False,TN,explicit FUNCTION_BLOCK declaration in mapped Structured Text source,production: GEB-scoped dt_FB_; probe: ungated core_symbol_text contains dt_FB_,DERIVED_EVIDENCE,
geb_AOUT1,AOUT1,GEB,fold_3,UNIQUE,1,AICPS-PLCBEAD_PLCEmbed-c78a56f/PLC-BEAD/Source/GEB/AOUT1/AOUT1.ST,56c39609d6d992a43f25c050ef8c5b1a692dadc1729a0d2890998fa6744ed070,,AOUT1;SIGN_R;_REAL_TO_DWORD,program0,False,False,False,TN,explicit FUNCTION_BLOCK declaration in mapped Structured Text source,production: GEB-scoped dt_FB_; probe: ungated core_symbol_text contains dt_FB_,DERIVED_EVIDENCE,
geb_ARRAY_AVG,ARRAY_AVG,GEB,fold_7,UNIQUE,1,AICPS-PLCBEAD_PLCEmbed-c78a56f/PLC-BEAD/Source/GEB/ARRAY_AVG/ARRAY_AVG.ST,2ff403a2897c789af152323e9e569b847009efe3b1b31e3e4bacde2e02d7c1f8,ARRAY_AVG_Block,,program0,True,True,True,TP,explicit FUNCTION_BLOCK declaration in mapped Structured Text source,production: GEB-scoped dt_FB_; probe: ungated core_symbol_text contains dt_FB_,DERIVED_EVIDENCE,
geb_ARRAY_GAV,ARRAY_GAV,GEB,fold_8,UNIQUE,1,AICPS-PLCBEAD_PLCEmbed-c78a56f/PLC-BEAD/Source/GEB/ARRAY_GAV/ARRAY_GAV.ST,0a356d042c42b4b2309c8491aa87e9c3ffa79dfb58168e346f490afa2ac90029,ARRAY_GAV_Block,SQRTN,program0,True,True,True,TP,explicit FUNCTION_BLOCK declaration in mapped Structured Text source,production: GEB-scoped dt_FB_; probe: ungated core_symbol_text contains dt_FB_,DERIVED_EVIDENCE,
geb_ARRAY_HAV,ARRAY_HAV,GEB,fold_9,UNIQUE,1,AICPS-PLCBEAD_PLCEmbed-c78a56f/PLC-BEAD/Source/GEB/ARRAY_HAV/ARRAY_HAV.ST,b66f0f896905e46b92c079d4a2eaf119dfbe9f6061fbffac9f6967cfec2b4b05,ARRAY_HAV_Block,,program0,True,True,True,TP,explicit FUNCTION_BLOCK declaration in mapped Structured Text source,production: GEB-scoped dt_FB_; probe: ungated core_symbol_text contains dt_FB_,DERIVED_EVIDENCE,
geb_ARRAY_MAX,ARRAY_MAX,GEB,fold_0,UNIQUE,1,AICPS-PLCBEAD_PLCEmbed-c78a56f/PLC-BEAD/Source/GEB/ARRAY_MAX/ARRAY_MAX.ST,67ec29ba73f46373dd0757882acd04de2d9627510c3e3fca0843f51b9871ded6,ARRAY_MAX_Block,,program0,True,True,True,TP,explicit FUNCTION_BLOCK declaration in mapped Structured Text source,production: GEB-scoped dt_FB_; probe: ungated core_symbol_text contains dt_FB_,DERIVED_EVIDENCE,
geb_ARRAY_MEDIAN,ARRAY_MEDIAN,GEB,fold_1,UNIQUE,1,AICPS-PLCBEAD_PLCEmbed-c78a56f/PLC-BEAD/Source/GEB/ARRAY_MEDIAN/ARRAY_MEDIAN.ST,b00921f07024069385732b5248bac939e123a53f5dcbe569f176a06cf0e81ea7,_ARRAY_MEDIAN_Block;_ARRAY_SORT_Block,BIT_OF_DWORD;EVEN;_INT_TO_UDINT,program0,True,True,True,TP,explicit FUNCTION_BLOCK declaration in mapped Structured Text source,production: GEB-scoped dt_FB_; probe: ungated core_symbol_text contains dt_FB_,DERIVED_EVIDENCE,
geb_ARRAY_MIN,ARRAY_MIN,GEB,fold_2,UNIQUE,1,AICPS-PLCBEAD_PLCEmbed-c78a56f/PLC-BEAD/Source/GEB/ARRAY_MIN/ARRAY_MIN.ST,77d39bbefe5665bd0f27d9ed68d766e334afa4505544f6ef7afb21a6fd844b09,ARRAY_MIN_Block,,program0,True,True,True,TP,explicit FUNCTION_BLOCK declaration in mapped Structured Text source,production: GEB-scoped dt_FB_; probe: ungated core_symbol_text contains dt_FB_,DERIVED_EVIDENCE,
geb_ARRAY_SDV,ARRAY_SDV,GEB,fold_3,UNIQUE,1,AICPS-PLCBEAD_PLCEmbed-c78a56f/PLC-BEAD/Source/GEB/ARRAY_SDV/ARRAY_SDV.ST,b8652315bff4e5b80bcb3e21f73d994be2221eb98d253ec4b5a6cebd31b5e3bb,ARRAY_SDV_Block;ARRAY_VAR_Block,,program0,True,True,True,TP,explicit FUNCTION_BLOCK declaration in mapped Structured Text source,production: GEB-scoped dt_FB_; probe: ungated core_symbol_text contains dt_FB_,DERIVED_EVIDENCE,
geb_ARRAY_SPR,ARRAY_SPR,GEB,fold_4,UNIQUE,1,AICPS-PLCBEAD_PLCEmbed-c78a56f/PLC-BEAD/Source/GEB/ARRAY_SPR/ARRAY_SPR.ST,cfd10d6191153061c575ae5674c5fbd8e56526e133afa0eb5c12e78a8881b1eb,ARRAY_SPR_Block,,program0,True,True,True,TP,explicit FUNCTION_BLOCK declaration in mapped Structured Text source,production: GEB-scoped dt_FB_; probe: ungated core_symbol_text contains dt_FB_,DERIVED_EVIDENCE,
geb_ARRAY_SUM,ARRAY_SUM,GEB,fold_5,UNIQUE,1,AICPS-PLCBEAD_PLCEmbed-c78a56f/PLC-BEAD/Source/GEB/ARRAY_SUM/ARRAY_SUM.ST,cb1708a2dfd076298cae5a023825516eb259509f521f07090794d8de290f0113,ARRAY_SUM_Block,,program0,True,True,True,TP,explicit FUNCTION_BLOCK declaration in mapped Structured Text source,production: GEB-scoped dt_FB_; probe: ungated core_symbol_text contains dt_FB_,DERIVED_EVIDENCE,
geb_ARRAY_TREND,ARRAY_TREND,GEB,fold_6,UNIQUE,1,AICPS-PLCBEAD_PLCEmbed-c78a56f/PLC-BEAD/Source/GEB/ARRAY_TREND/ARRAY_TREND.ST,f6cff1d075a709952cad08f59a9ec76d302fb8e050dcc05f4b8bbcbc2fb98f14,ARRAY_TREND_Block,BIT_OF_DWORD;EVEN,program0,True,True,True,TP,explicit FUNCTION_BLOCK declaration in mapped Structured Text source,production: GEB-scoped dt_FB_; probe: ungated core_symbol_text contains dt_FB_,DERIVED_EVIDENCE,
geb_ARRAY_VAR,ARRAY_VAR,GEB,fold_7,UNIQUE,1,AICPS-PLCBEAD_PLCEmbed-c78a56f/PLC-BEAD/Source/GEB/ARRAY_VAR/ARRAY_VAR.ST,c05bca0aed41a8b0f1b574aad1de78855d39791283e22df156fb21e24df66a65,ARRAY_VAR_Block,,program0,True,True,True,TP,explicit FUNCTION_BLOCK declaration in mapped Structured Text source,production: GEB-scoped dt_FB_; probe: ungated core_symbol_text contains dt_FB_,DERIVED_EVIDENCE,
geb_ASINH,ASINH,GEB,fold_4,UNIQUE,1,AICPS-PLCBEAD_PLCEmbed-c78a56f/PLC-BEAD/Source/GEB/ASINH/ASINH.ST,15165d406da823291a578386bb366dbe56ae4d1fc8dd5df68e56fc94bda1ce99,,ASINH,program0,False,False,False,TN,explicit FUNCTION_BLOCK declaration in mapped Structured Text source,production: GEB-scoped dt_FB_; probe: ungated core_symbol_text contains dt_FB_,DERIVED_EVIDENCE,
geb_ASTRO,ASTRO,GEB,fold_0,UNIQUE,1,AICPS-PLCBEAD_PLCEmbed-c78a56f/PLC-BEAD/Source/GEB/ASTRO/ASTRO.ST,78d08cdb3faf553edde3075a39cb17a48fc12d64cacb1b6753d93d3f9ba5d1ed,ASTRO,,program0,True,True,True,TP,explicit FUNCTION_BLOCK declaration in mapped Structured Text source,production: GEB-scoped dt_FB_; probe: ungated core_symbol_text contains dt_FB_,DERIVED_EVIDENCE,
geb_ATAN2,ATAN2,GEB,fold_5,UNIQUE,1,AICPS-PLCBEAD_PLCEmbed-c78a56f/PLC-BEAD/Source/GEB/ATAN2/ATAN2.ST,9c67ac998d469cb1f17756e4e1445d067ef302764382f12c968dec5722e1b496,,ATAN2,program0,False,False,False,TN,explicit FUNCTION_BLOCK declaration in mapped Structured Text source,production: GEB-scoped dt_FB_; probe: ungated core_symbol_text contains dt_FB_,DERIVED_EVIDENCE,
geb_ATANH,ATANH,GEB,fold_6,UNIQUE,1,AICPS-PLCBEAD_PLCEmbed-c78a56f/PLC-BEAD/Source/GEB/ATANH/ATANH.ST,c7af4b8a357a3458f5201f39b21f3ab49a9d2931f0946e35b16ccf4c5c5a9cf4,,ATANH,program0,False,False,False,TN,explicit FUNCTION_BLOCK declaration in mapped Structured Text source,production: GEB-scoped dt_FB_; probe: ungated core_symbol_text contains dt_FB_,DERIVED_EVIDENCE,
geb_A_TRIG,A_TRIG,GEB,fold_0,UNIQUE,1,AICPS-PLCBEAD_PLCEmbed-c78a56f/PLC-BEAD/Source/GEB/A_TRIG/A_TRIG.ST,17be02c0538ee20a345f9975b9f780c22938e79f1fb5bd4a17f85706e9b30539,A_TRIG,,program0,True,True,True,TP,explicit FUNCTION_BLOCK declaration in mapped Structured Text source,production: GEB-scoped dt_FB_; probe: ungated core_symbol_text contains dt_FB_,DERIVED_EVIDENCE,
geb_BAND_B,BAND_B,GEB,fold_0,UNIQUE,1,AICPS-PLCBEAD_PLCEmbed-c78a56f/PLC-BEAD/Source/GEB/BAND_B/BAND_B.ST,3ce81085a7a3df49190e4079ca0787bb17a830585e285329dec56975de80890b,,BAND_B,program0,False,False,False,TN,explicit FUNCTION_BLOCK declaration in mapped Structured Text source,production: GEB-scoped dt_FB_; probe: ungated core_symbol_text contains dt_FB_,DERIVED_EVIDENCE,
geb_BAR_GRAPH,BAR_GRAPH,GEB,fold_1,UNIQUE,1,AICPS-PLCBEAD_PLCEmbed-c78a56f/PLC-BEAD/Source/GEB/BAR_GRAPH/BAR_GRAPH.ST,ef8dca485c1a1ded52d53d5b041b80ba74717f070f7b5abe5b6105626cd0f8c2,BAR_GRAPH,,program0,True,True,True,TP,explicit FUNCTION_BLOCK declaration in mapped Structured Text source,production: GEB-scoped dt_FB_; probe: ungated core_symbol_text contains dt_FB_,DERIVED_EVIDENCE,
geb_BASE64_DECODE_STREAM,BASE64_DECODE_STREAM,GEB,fold_0,MULTIPLE_CONSISTENT,2,AICPS-PLCBEAD_PLCEmbed-c78a56f/PLC-BEAD/Source/GEB/Network_BASE64_DECODE_STREAM/BASE64_DECODE_STREAM.ST;AICPS-PLCBEAD_PLCEmbed-c78a56f/PLC-BEAD/Source/GEB/sample_project/oscat/Network/BASE64_DECODE_STREAM.ST,1a2554c1f63d6afc55de6936afdd91572ede7d4d940931c141ac86f0291459b8;f03d313fa70e2f7028354e9bbf012e808cfcf81800997e76f001899425056e5d,BASE64_DECODE_STREAM,,instance0;program0,True,True,True,TP,explicit FUNCTION_BLOCK declaration in mapped Structured Text source,production: GEB-scoped dt_FB_; probe: ungated core_symbol_text contains dt_FB_,DERIVED_EVIDENCE,
geb_BCDC_TO_INT,BCDC_TO_INT,GEB,fold_0,UNIQUE,1,AICPS-PLCBEAD_PLCEmbed-c78a56f/PLC-BEAD/Source/GEB/BCDC_TO_INT/BCDC_TO_INT.ST,e2c94f9073198f967cea282d9765df1c4ceca4364b913da7ed307ec48cf68a89,,BCDC_TO_INT;_BYTE_TO_INT,program0,False,False,False,TN,explicit FUNCTION_BLOCK declaration in mapped Structured Text source,production: GEB-scoped dt_FB_; probe: ungated core_symbol_text contains dt_FB_,DERIVED_EVIDENCE,
geb_BETA,BETA,GEB,fold_7,UNIQUE,1,AICPS-PLCBEAD_PLCEmbed-c78a56f/PLC-BEAD/Source/GEB/BETA/BETA.ST,428424b8e1a9c4c4ec450a13ef6e2202510e066ec8af9977be55c94240930bdf,,BETA;GAMMA,program0,False,False,False,TN,explicit FUNCTION_BLOCK declaration in mapped Structured Text source,production: GEB-scoped dt_FB_; probe: ungated core_symbol_text contains dt_FB_,DERIVED_EVIDENCE,
geb_BFT_TO_MS,BFT_TO_MS,GEB,fold_1,UNIQUE,1,AICPS-PLCBEAD_PLCEmbed-c78a56f/PLC-BEAD/Source/GEB/BFT_TO_MS/BFT_TO_MS.ST,2801f28cdb6fcfe41e668080915bbdf8cd1c15a0b5d6245a7591d6c3a21f3070,,BFT_TO_MS,program0,False,False,False,TN,explicit FUNCTION_BLOCK declaration in mapped Structured Text source,production: GEB-scoped dt_FB_; probe: ungated core_symbol_text contains dt_FB_,DERIVED_EVIDENCE,
geb_BINOM,BINOM,GEB,fold_8,UNIQUE,1,AICPS-PLCBEAD_PLCEmbed-c78a56f/PLC-BEAD/Source/GEB/BINOM/BINOM.ST,30013d7ffe743a9fb660db76d035cc678ae84aa549afe5fb39d1f92fe5e86184,,BINOM,program0,False,False,False,TN,explicit FUNCTION_BLOCK declaration in mapped Structured Text source,production: GEB-scoped dt_FB_; probe: ungated core_symbol_text contains dt_FB_,DERIVED_EVIDENCE,
geb_BIT_COUNT,BIT_COUNT,GEB,fold_1,UNIQUE,1,AICPS-PLCBEAD_PLCEmbed-c78a56f/PLC-BEAD/Source/GEB/BIT_COUNT/BIT_COUNT.ST,ede4b5647c15d24c21c34a4308a6d2eb5fe64ecf376446f8c135916442bb1a28,,BIT_COUNT,program0,False,False,False,TN,explicit FUNCTION_BLOCK declaration in mapped Structured Text source,production: GEB-scoped dt_FB_; probe: ungated core_symbol_text contains dt_FB_,DERIVED_EVIDENCE,
geb_BIT_LOAD_B,BIT_LOAD_B,GEB,fold_2,UNIQUE,1,AICPS-PLCBEAD_PLCEmbed-c78a56f/PLC-BEAD/Source/GEB/BIT_LOAD_B/BIT_LOAD_B.ST,9f06bf850ac7bc3b5b4439d39c2dd80e4823345f9e7653c0bb316a20f5ac2f2b,,BIT_LOAD_B,program0,False,False,False,TN,explicit FUNCTION_BLOCK declaration in mapped Structured Text source,production: GEB-scoped dt_FB_; probe: ungated core_symbol_text contains dt_FB_,DERIVED_EVIDENCE,
geb_BIT_LOAD_B2,BIT_LOAD_B2,GEB,fold_3,UNIQUE,1,AICPS-PLCBEAD_PLCEmbed-c78a56f/PLC-BEAD/Source/GEB/BIT_LOAD_B2/BIT_LOAD_B2.ST,bec4c2e5d3f0fe6b558db3bd2a4b9ac16d41814494abca567b2a2ec54d20fe8e,,BIT_LOAD_B2,program0,False,False,False,TN,explicit FUNCTION_BLOCK declaration in mapped Structured Text source,production: GEB-scoped dt_FB_; probe: ungated core_symbol_text contains dt_FB_,DERIVED_EVIDENCE,
geb_BIT_LOAD_DW,BIT_LOAD_DW,GEB,fold_4,UNIQUE,1,AICPS-PLCBEAD_PLCEmbed-c78a56f/PLC-BEAD/Source/GEB/BIT_LOAD_DW/BIT_LOAD_DW.ST,f1292d122ceb5b67a04cb694d50cce219209dfcd238cf4ccb25d151502710859,,BIT_LOAD_DW,program0,False,False,False,TN,explicit FUNCTION_BLOCK declaration in mapped Structured Text source,production: GEB-scoped dt_FB_; probe: ungated core_symbol_text contains dt_FB_,DERIVED_EVIDENCE,
geb_BIT_LOAD_DW2,BIT_LOAD_DW2,GEB,fold_5,UNIQUE,1,AICPS-PLCBEAD_PLCEmbed-c78a56f/PLC-BEAD/Source/GEB/BIT_LOAD_DW2/BIT_LOAD_DW2.ST,b0bb225cbcc88bb789557fb54d5642227938b54194b77a76261dba7326f18a6d,,BIT_LOAD_DW2,program0,False,False,False,TN,explicit FUNCTION_BLOCK declaration in mapped Structured Text source,production: GEB-scoped dt_FB_; probe: ungated core_symbol_text contains dt_FB_,DERIVED_EVIDENCE,
geb_BIT_LOAD_W,BIT_LOAD_W,GEB,fold_6,UNIQUE,1,AICPS-PLCBEAD_PLCEmbed-c78a56f/PLC-BEAD/Source/GEB/BIT_LOAD_W/BIT_LOAD_W.ST,2f87a4322a3dfe61bca8a57ec24ff1b5e99efa188d9dfa1b9e9e53ef6f456f6d,,BIT_LOAD_W,program0,False,False,False,TN,explicit FUNCTION_BLOCK declaration in mapped Structured Text source,production: GEB-scoped dt_FB_; probe: ungated core_symbol_text contains dt_FB_,DERIVED_EVIDENCE,
geb_BIT_LOAD_W2,BIT_LOAD_W2,GEB,fold_7,UNIQUE,1,AICPS-PLCBEAD_PLCEmbed-c78a56f/PLC-BEAD/Source/GEB/BIT_LOAD_W2/BIT_LOAD_W2.ST,b2d89ab027d8c91babf1fa52c04a83e87a782e0b5acff44d728b23d7a56d1dfe,,BIT_LOAD_W2,program0,False,False,False,TN,explicit FUNCTION_BLOCK declaration in mapped Structured Text source,production: GEB-scoped dt_FB_; probe: ungated core_symbol_text contains dt_FB_,DERIVED_EVIDENCE,
geb_BIT_OF_DWORD,BIT_OF_DWORD,GEB,fold_8,UNIQUE,1,AICPS-PLCBEAD_PLCEmbed-c78a56f/PLC-BEAD/Source/GEB/BIT_OF_DWORD/BIT_OF_DWORD.ST,dae30ba8ff5fac6f8d68a98606c67e3b62d38bfa73c05ddb7d253ab68b2c84b5,,BIT_OF_DWORD,program0,False,False,False,TN,explicit FUNCTION_BLOCK declaration in mapped Structured Text source,production: GEB-scoped dt_FB_; probe: ungated core_symbol_text contains dt_FB_,DERIVED_EVIDENCE,
geb_BIT_TOGGLE_B,BIT_TOGGLE_B,GEB,fold_9,UNIQUE,1,AICPS-PLCBEAD_PLCEmbed-c78a56f/PLC-BEAD/Source/GEB/BIT_TOGGLE_B/BIT_TOGGLE_B.ST,258367138c1f591d6e240d09edd7bb59598c4744a73eef1d5ac74986fdad88f5,,BIT_TOGGLE_B,program0,False,False,False,TN,explicit FUNCTION_BLOCK declaration in mapped Structured Text source,production: GEB-scoped dt_FB_; probe: ungated core_symbol_text contains dt_FB_,DERIVED_EVIDENCE,
geb_BIT_TOGGLE_DW,BIT_TOGGLE_DW,GEB,fold_0,UNIQUE,1,AICPS-PLCBEAD_PLCEmbed-c78a56f/PLC-BEAD/Source/GEB/BIT_TOGGLE_DW/BIT_TOGGLE_DW.ST,6b34b663327033576aad3e176885cc01bd9183ea3b349d80dc0ec9e1ded785c5,,BIT_TOGGLE_DW,program0,False,False,False,TN,explicit FUNCTION_BLOCK declaration in mapped Structured Text source,production: GEB-scoped dt_FB_; probe: ungated core_symbol_text contains dt_FB_,DERIVED_EVIDENCE,
geb_BIT_TOGGLE_W,BIT_TOGGLE_W,GEB,fold_1,UNIQUE,1,AICPS-PLCBEAD_PLCEmbed-c78a56f/PLC-BEAD/Source/GEB/BIT_TOGGLE_W/BIT_TOGGLE_W.ST,d82e08d85a47e484205d12d534aae7b6d0e771f104720414a9ec449d1ccc8e07,,BIT_TOGGLE_W,program0,False,False,False,TN,explicit FUNCTION_BLOCK declaration in mapped Structured Text source,production: GEB-scoped dt_FB_; probe: ungated core_symbol_text contains dt_FB_,DERIVED_EVIDENCE,
geb_BLIND_ACTUATOR,BLIND_ACTUATOR,GEB,fold_0,UNIQUE,1,AICPS-PLCBEAD_PLCEmbed-c78a56f/PLC-BEAD/Source/GEB/building_BLIND_ACTUATOR/BLIND_ACTUATOR.ST,c4b65dfb8455bf706e97d23409bf5846584a8d788f534b7e92384c589f0457b8,BLIND_ACTUATOR_Block;INTERLOCK_Block;RMP_B_Block;T_PLC_MS_block;_RMP_B,FRMP_B;TIME_TO_UDINT2,program0,True,True,True,TP,explicit FUNCTION_BLOCK declaration in mapped Structured Text source,production: GEB-scoped dt_FB_; probe: ungated core_symbol_text contains dt_FB_,DERIVED_EVIDENCE,
geb_BLIND_CONTROL,BLIND_CONTROL,GEB,fold_1,UNIQUE,1,AICPS-PLCBEAD_PLCEmbed-c78a56f/PLC-BEAD/Source/GEB/building_BLIND_CONTROL/BLIND_CONTROL.ST,9db4b24d737274b59a5a6cf00d5c8280b3d40a3043005b804226c7a598817f56,BLIND_ACTUATOR_Block;BLIND_CONTROL_Block;INTERLOCK_Block;RMP_B_Block;T_PLC_MS_block;_RMP_B,FRMP_B;TIME_TO_UDINT2;_BYTE_TO_INT,program0,True,True,True,TP,explicit FUNCTION_BLOCK declaration in mapped Structured Text source,production: GEB-scoped dt_FB_; probe: ungated core_symbol_text contains dt_FB_,DERIVED_EVIDENCE,
geb_BLIND_CONTROL_S,BLIND_CONTROL_S,GEB,fold_2,UNIQUE,1,AICPS-PLCBEAD_PLCEmbed-c78a56f/PLC-BEAD/Source/GEB/building_BLIND_CONTROL_S/BLIND_CONTROL_S.ST,60d731b5abcd02d7e5d03d05f759534e1cca456c37e9fa88734dd79c553ec208,BLIND_CONTROL_S_Block;TREND_DW;T_PLC_MS_block;_RMP_B;_RMP_NEXT,FRMP_B;TIME_TO_UDINT2;UDINT_TO_TIME2;_BYTE_TO_INT,program0,True,True,True,TP,explicit FUNCTION_BLOCK declaration in mapped Structured Text source,production: GEB-scoped dt_FB_; probe: ungated core_symbol_text contains dt_FB_,DERIVED_EVIDENCE,
