"sample_id","program_name","toolchain","binary_name","binary_path","file_extension","file_size_bytes","binary_format","architecture","bitness","stripped_status","symbol_status","metadata_available","func_label","program_language","basic","network_communication","building","split_group_program","leakage_guard","redistribution_status","notes"
"CODESYS__RMP_NEXT","_RMP_NEXT","CODESYS","codesys__RMP_NEXT.app","AICPS-PLCBEAD_PLCEmbed-c78a56f\PLC-BEAD\Binary\All_PLC_Program_Binaries\codesys__RMP_NEXT.app",".app","190800","CODESYS_APP_CONTAINER","UNKNOWN_NEEDS_BINARY_REVIEW","UNKNOWN_NEEDS_BINARY_REVIEW","UNKNOWN_NEEDS_BINARY_REVIEW","UNKNOWN_NEEDS_BINARY_REVIEW","yes","Signal_Gen","Structured Text","1","0","0","_RMP_NEXT","PROGRAM_LEVEL_SPLIT_REQUIRED","LOCAL_PROJECT_DATASET","Manifest generated from local PLC-BEAD metadata and binary filenames; no binary semantic analysis performed."
"CODESYS__RMP_W","_RMP_W","CODESYS","codesys__RMP_W.app","AICPS-PLCBEAD_PLCEmbed-c78a56f\PLC-BEAD\Binary\All_PLC_Program_Binaries\codesys__RMP_W.app",".app","186272","CODESYS_APP_CONTAINER","UNKNOWN_NEEDS_BINARY_REVIEW","UNKNOWN_NEEDS_BINARY_REVIEW","UNKNOWN_NEEDS_BINARY_REVIEW","UNKNOWN_NEEDS_BINARY_REVIEW","yes","Signal_Gen","Structured Text","1","0","0","_RMP_W","PROGRAM_LEVEL_SPLIT_REQUIRED","LOCAL_PROJECT_DATASET","Manifest generated from local PLC-BEAD metadata and binary filenames; no binary semantic analysis performed."
"CODESYS__STRING_TO_BUFFER","_STRING_TO_BUFFER","CODESYS","codesys__STRING_TO_BUFFER.app","AICPS-PLCBEAD_PLCEmbed-c78a56f\PLC-BEAD\Binary\All_PLC_Program_Binaries\codesys__STRING_TO_BUFFER.app",".app","184448","CODESYS_APP_CONTAINER","UNKNOWN_NEEDS_BINARY_REVIEW","UNKNOWN_NEEDS_BINARY_REVIEW","UNKNOWN_NEEDS_BINARY_REVIEW","UNKNOWN_NEEDS_BINARY_REVIEW","no","UNKNOWN_NEEDS_METADATA_REVIEW","UNKNOWN_NEEDS_METADATA_REVIEW","UNKNOWN","UNKNOWN","UNKNOWN","_STRING_TO_BUFFER","PROGRAM_LEVEL_SPLIT_REQUIRED","LOCAL_PROJECT_DATASET","Manifest generated from local PLC-BEAD metadata and binary filenames; no binary semantic analysis performed."
"CODESYS_A_TRIG","A_TRIG","CODESYS","codesys_A_TRIG.app","AICPS-PLCBEAD_PLCEmbed-c78a56f\PLC-BEAD\Binary\All_PLC_Program_Binaries\codesys_A_TRIG.app",".app","184984","CODESYS_APP_CONTAINER","UNKNOWN_NEEDS_BINARY_REVIEW","UNKNOWN_NEEDS_BINARY_REVIEW","UNKNOWN_NEEDS_BINARY_REVIEW","UNKNOWN_NEEDS_BINARY_REVIEW","yes","Pulse_Gen","Structured Text","1","0","0","A_TRIG","PROGRAM_LEVEL_SPLIT_REQUIRED","LOCAL_PROJECT_DATASET","Manifest generated from local PLC-BEAD metadata and binary filenames; no binary semantic analysis performed."
"CODESYS_ACOSH","ACOSH","CODESYS","codesys_ACOSH.app","AICPS-PLCBEAD_PLCEmbed-c78a56f\PLC-BEAD\Binary\All_PLC_Program_Binaries\codesys_ACOSH.app",".app","185136","CODESYS_APP_CONTAINER","UNKNOWN_NEEDS_BINARY_REVIEW","UNKNOWN_NEEDS_BINARY_REVIEW","UNKNOWN_NEEDS_BINARY_REVIEW","UNKNOWN_NEEDS_BINARY_REVIEW","yes","Mathematics","Structured Text","1","0","0","ACOSH","PROGRAM_LEVEL_SPLIT_REQUIRED","LOCAL_PROJECT_DATASET","Manifest generated from local PLC-BEAD metadata and binary filenames; no binary semantic analysis performed."
"CODESYS_ACOTH","ACOTH","CODESYS","codesys_ACOTH.app","AICPS-PLCBEAD_PLCEmbed-c78a56f\PLC-BEAD\Binary\All_PLC_Program_Binaries\codesys_ACOTH.app",".app","185156","CODESYS_APP_CONTAINER","UNKNOWN_NEEDS_BINARY_REVIEW","UNKNOWN_NEEDS_BINARY_REVIEW","UNKNOWN_NEEDS_BINARY_REVIEW","UNKNOWN_NEEDS_BINARY_REVIEW","yes","Mathematics","Structured Text","1","0","0","ACOTH","PROGRAM_LEVEL_SPLIT_REQUIRED","LOCAL_PROJECT_DATASET","Manifest generated from local PLC-BEAD metadata and binary filenames; no binary semantic analysis performed."
"CODESYS_AGDF","AGDF","CODESYS","codesys_AGDF.app","AICPS-PLCBEAD_PLCEmbed-c78a56f\PLC-BEAD\Binary\All_PLC_Program_Binaries\codesys_AGDF.app",".app","185292","CODESYS_APP_CONTAINER","UNKNOWN_NEEDS_BINARY_REVIEW","UNKNOWN_NEEDS_BINARY_REVIEW","UNKNOWN_NEEDS_BINARY_REVIEW","UNKNOWN_NEEDS_BINARY_REVIEW","yes","Mathematics","Structured Text","1","0","0","AGDF","PROGRAM_LEVEL_SPLIT_REQUIRED","LOCAL_PROJECT_DATASET","Manifest generated from local PLC-BEAD metadata and binary filenames; no binary semantic analysis performed."
"CODESYS_AIN","AIN","CODESYS","codesys_AIN.app","AICPS-PLCBEAD_PLCEmbed-c78a56f\PLC-BEAD\Binary\All_PLC_Program_Binaries\codesys_AIN.app",".app","185316","CODESYS_APP_CONTAINER","UNKNOWN_NEEDS_BINARY_REVIEW","UNKNOWN_NEEDS_BINARY_REVIEW","UNKNOWN_NEEDS_BINARY_REVIEW","UNKNOWN_NEEDS_BINARY_REVIEW","yes","Signal_Proc","Structured Text","1","0","0","AIN","PROGRAM_LEVEL_SPLIT_REQUIRED","LOCAL_PROJECT_DATASET","Manifest generated from local PLC-BEAD metadata and binary filenames; no binary semantic analysis performed."
"CODESYS_AIN1","AIN1","CODESYS","codesys_AIN1.app","AICPS-PLCBEAD_PLCEmbed-c78a56f\PLC-BEAD\Binary\All_PLC_Program_Binaries\codesys_AIN1.app",".app","187044","CODESYS_APP_CONTAINER","UNKNOWN_NEEDS_BINARY_REVIEW","UNKNOWN_NEEDS_BINARY_REVIEW","UNKNOWN_NEEDS_BINARY_REVIEW","UNKNOWN_NEEDS_BINARY_REVIEW","yes","Signal_Proc","Structured Text","1","0","0","AIN1","PROGRAM_LEVEL_SPLIT_REQUIRED","LOCAL_PROJECT_DATASET","Manifest generated from local PLC-BEAD metadata and binary filenames; no binary semantic analysis performed."
"CODESYS_ALARM_2","ALARM_2","CODESYS","codesys_ALARM_2.app","AICPS-PLCBEAD_PLCEmbed-c78a56f\PLC-BEAD\Binary\All_PLC_Program_Binaries\codesys_ALARM_2.app",".app","186008","CODESYS_APP_CONTAINER","UNKNOWN_NEEDS_BINARY_REVIEW","UNKNOWN_NEEDS_BINARY_REVIEW","UNKNOWN_NEEDS_BINARY_REVIEW","UNKNOWN_NEEDS_BINARY_REVIEW","yes","Measure_Mods","Structured Text","1","0","0","ALARM_2","PROGRAM_LEVEL_SPLIT_REQUIRED","LOCAL_PROJECT_DATASET","Manifest generated from local PLC-BEAD metadata and binary filenames; no binary semantic analysis performed."
"CODESYS_AOUT","AOUT","CODESYS","codesys_AOUT.app","AICPS-PLCBEAD_PLCEmbed-c78a56f\PLC-BEAD\Binary\All_PLC_Program_Binaries\codesys_AOUT.app",".app","185540","CODESYS_APP_CONTAINER","UNKNOWN_NEEDS_BINARY_REVIEW","UNKNOWN_NEEDS_BINARY_REVIEW","UNKNOWN_NEEDS_BINARY_REVIEW","UNKNOWN_NEEDS_BINARY_REVIEW","yes","Signal_Proc","Structured Text","1","0","0","AOUT","PROGRAM_LEVEL_SPLIT_REQUIRED","LOCAL_PROJECT_DATASET","Manifest generated from local PLC-BEAD metadata and binary filenames; no binary semantic analysis performed."
"CODESYS_AOUT1","AOUT1","CODESYS","codesys_AOUT1.app","AICPS-PLCBEAD_PLCEmbed-c78a56f\PLC-BEAD\Binary\All_PLC_Program_Binaries\codesys_AOUT1.app",".app","185604","CODESYS_APP_CONTAINER","UNKNOWN_NEEDS_BINARY_REVIEW","UNKNOWN_NEEDS_BINARY_REVIEW","UNKNOWN_NEEDS_BINARY_REVIEW","UNKNOWN_NEEDS_BINARY_REVIEW","yes","Signal_Proc","Structured Text","1","0","0","AOUT1","PROGRAM_LEVEL_SPLIT_REQUIRED","LOCAL_PROJECT_DATASET","Manifest generated from local PLC-BEAD metadata and binary filenames; no binary semantic analysis performed."
"CODESYS_ARRAY_AVG","ARRAY_AVG","CODESYS","codesys_ARRAY_AVG.app","AICPS-PLCBEAD_PLCEmbed-c78a56f\PLC-BEAD\Binary\All_PLC_Program_Binaries\codesys_ARRAY_AVG.app",".app","185188","CODESYS_APP_CONTAINER","UNKNOWN_NEEDS_BINARY_REVIEW","UNKNOWN_NEEDS_BINARY_REVIEW","UNKNOWN_NEEDS_BINARY_REVIEW","UNKNOWN_NEEDS_BINARY_REVIEW","yes","Array_Buffer_Mem_List","Structured Text","1","0","0","ARRAY_AVG","PROGRAM_LEVEL_SPLIT_REQUIRED","LOCAL_PROJECT_DATASET","Manifest generated from local PLC-BEAD metadata and binary filenames; no binary semantic analysis performed."
"CODESYS_ARRAY_GAV","ARRAY_GAV","CODESYS","codesys_ARRAY_GAV.app","AICPS-PLCBEAD_PLCEmbed-c78a56f\PLC-BEAD\Binary\All_PLC_Program_Binaries\codesys_ARRAY_GAV.app",".app","185628","CODESYS_APP_CONTAINER","UNKNOWN_NEEDS_BINARY_REVIEW","UNKNOWN_NEEDS_BINARY_REVIEW","UNKNOWN_NEEDS_BINARY_REVIEW","UNKNOWN_NEEDS_BINARY_REVIEW","yes","Array_Buffer_Mem_List","Structured Text","1","0","0","ARRAY_GAV","PROGRAM_LEVEL_SPLIT_REQUIRED","LOCAL_PROJECT_DATASET","Manifest generated from local PLC-BEAD metadata and binary filenames; no binary semantic analysis performed."
"CODESYS_ARRAY_HAV","ARRAY_HAV","CODESYS","codesys_ARRAY_HAV.app","AICPS-PLCBEAD_PLCEmbed-c78a56f\PLC-BEAD\Binary\All_PLC_Program_Binaries\codesys_ARRAY_HAV.app",".app","185236","CODESYS_APP_CONTAINER","UNKNOWN_NEEDS_BINARY_REVIEW","UNKNOWN_NEEDS_BINARY_REVIEW","UNKNOWN_NEEDS_BINARY_REVIEW","UNKNOWN_NEEDS_BINARY_REVIEW","yes","Array_Buffer_Mem_List","Structured Text","1","0","0","ARRAY_HAV","PROGRAM_LEVEL_SPLIT_REQUIRED","LOCAL_PROJECT_DATASET","Manifest generated from local PLC-BEAD metadata and binary filenames; no binary semantic analysis performed."
"CODESYS_ARRAY_MAX","ARRAY_MAX","CODESYS","codesys_ARRAY_MAX.app","AICPS-PLCBEAD_PLCEmbed-c78a56f\PLC-BEAD\Binary\All_PLC_Program_Binaries\codesys_ARRAY_MAX.app",".app","185276","CODESYS_APP_CONTAINER","UNKNOWN_NEEDS_BINARY_REVIEW","UNKNOWN_NEEDS_BINARY_REVIEW","UNKNOWN_NEEDS_BINARY_REVIEW","UNKNOWN_NEEDS_BINARY_REVIEW","yes","Array_Buffer_Mem_List","Structured Text","1","0","0","ARRAY_MAX","PROGRAM_LEVEL_SPLIT_REQUIRED","LOCAL_PROJECT_DATASET","Manifest generated from local PLC-BEAD metadata and binary filenames; no binary semantic analysis performed."
"CODESYS_ARRAY_MIN","ARRAY_MIN","CODESYS","codesys_ARRAY_MIN.app","AICPS-PLCBEAD_PLCEmbed-c78a56f\PLC-BEAD\Binary\All_PLC_Program_Binaries\codesys_ARRAY_MIN.app",".app","185276","CODESYS_APP_CONTAINER","UNKNOWN_NEEDS_BINARY_REVIEW","UNKNOWN_NEEDS_BINARY_REVIEW","UNKNOWN_NEEDS_BINARY_REVIEW","UNKNOWN_NEEDS_BINARY_REVIEW","yes","Array_Buffer_Mem_List","Structured Text","1","0","0","ARRAY_MIN","PROGRAM_LEVEL_SPLIT_REQUIRED","LOCAL_PROJECT_DATASET","Manifest generated from local PLC-BEAD metadata and binary filenames; no binary semantic analysis performed."
"CODESYS_ARRAY_SDV","ARRAY_SDV","CODESYS","codesys_ARRAY_SDV.app","AICPS-PLCBEAD_PLCEmbed-c78a56f\PLC-BEAD\Binary\All_PLC_Program_Binaries\codesys_ARRAY_SDV.app",".app","185576","CODESYS_APP_CONTAINER","UNKNOWN_NEEDS_BINARY_REVIEW","UNKNOWN_NEEDS_BINARY_REVIEW","UNKNOWN_NEEDS_BINARY_REVIEW","UNKNOWN_NEEDS_BINARY_REVIEW","yes","Array_Buffer_Mem_List","Structured Text","1","0","0","ARRAY_SDV","PROGRAM_LEVEL_SPLIT_REQUIRED","LOCAL_PROJECT_DATASET","Manifest generated from local PLC-BEAD metadata and binary filenames; no binary semantic analysis performed."
"CODESYS_ARRAY_SPR","ARRAY_SPR","CODESYS","codesys_ARRAY_SPR.app","AICPS-PLCBEAD_PLCEmbed-c78a56f\PLC-BEAD\Binary\All_PLC_Program_Binaries\codesys_ARRAY_SPR.app",".app","184084","CODESYS_APP_CONTAINER","UNKNOWN_NEEDS_BINARY_REVIEW","UNKNOWN_NEEDS_BINARY_REVIEW","UNKNOWN_NEEDS_BINARY_REVIEW","UNKNOWN_NEEDS_BINARY_REVIEW","yes","Array_Buffer_Mem_List","Structured Text","1","0","0","ARRAY_SPR","PROGRAM_LEVEL_SPLIT_REQUIRED","LOCAL_PROJECT_DATASET","Manifest generated from local PLC-BEAD metadata and binary filenames; no binary semantic analysis performed."
"CODESYS_ARRAY_SUM","ARRAY_SUM","CODESYS","codesys_ARRAY_SUM.app","AICPS-PLCBEAD_PLCEmbed-c78a56f\PLC-BEAD\Binary\All_PLC_Program_Binaries\codesys_ARRAY_SUM.app",".app","184244","CODESYS_APP_CONTAINER","UNKNOWN_NEEDS_BINARY_REVIEW","UNKNOWN_NEEDS_BINARY_REVIEW","UNKNOWN_NEEDS_BINARY_REVIEW","UNKNOWN_NEEDS_BINARY_REVIEW","yes","Array_Buffer_Mem_List","Structured Text","1","0","0","ARRAY_SUM","PROGRAM_LEVEL_SPLIT_REQUIRED","LOCAL_PROJECT_DATASET","Manifest generated from local PLC-BEAD metadata and binary filenames; no binary semantic analysis performed."
"CODESYS_ARRAY_TREND","ARRAY_TREND","CODESYS","codesys_ARRAY_TREND.app","AICPS-PLCBEAD_PLCEmbed-c78a56f\PLC-BEAD\Binary\All_PLC_Program_Binaries\codesys_ARRAY_TREND.app",".app","184548","CODESYS_APP_CONTAINER","UNKNOWN_NEEDS_BINARY_REVIEW","UNKNOWN_NEEDS_BINARY_REVIEW","UNKNOWN_NEEDS_BINARY_REVIEW","UNKNOWN_NEEDS_BINARY_REVIEW","yes","Array_Buffer_Mem_List","Structured Text","1","0","0","ARRAY_TREND","PROGRAM_LEVEL_SPLIT_REQUIRED","LOCAL_PROJECT_DATASET","Manifest generated from local PLC-BEAD metadata and binary filenames; no binary semantic analysis performed."
"CODESYS_ARRAY_VAR","ARRAY_VAR","CODESYS","codesys_ARRAY_VAR.app","AICPS-PLCBEAD_PLCEmbed-c78a56f\PLC-BEAD\Binary\All_PLC_Program_Binaries\codesys_ARRAY_VAR.app",".app","185372","CODESYS_APP_CONTAINER","UNKNOWN_NEEDS_BINARY_REVIEW","UNKNOWN_NEEDS_BINARY_REVIEW","UNKNOWN_NEEDS_BINARY_REVIEW","UNKNOWN_NEEDS_BINARY_REVIEW","yes","Array_Buffer_Mem_List","Structured Text","1","0","0","ARRAY_VAR","PROGRAM_LEVEL_SPLIT_REQUIRED","LOCAL_PROJECT_DATASET","Manifest generated from local PLC-BEAD metadata and binary filenames; no binary semantic analysis performed."
"CODESYS_ASINH","ASINH","CODESYS","codesys_ASINH.app","AICPS-PLCBEAD_PLCEmbed-c78a56f\PLC-BEAD\Binary\All_PLC_Program_Binaries\codesys_ASINH.app",".app","184108","CODESYS_APP_CONTAINER","UNKNOWN_NEEDS_BINARY_REVIEW","UNKNOWN_NEEDS_BINARY_REVIEW","UNKNOWN_NEEDS_BINARY_REVIEW","UNKNOWN_NEEDS_BINARY_REVIEW","yes","Mathematics","Structured Text","1","0","0","ASINH","PROGRAM_LEVEL_SPLIT_REQUIRED","LOCAL_PROJECT_DATASET","Manifest generated from local PLC-BEAD metadata and binary filenames; no binary semantic analysis performed."
"CODESYS_ASTRO","ASTRO","CODESYS","codesys_ASTRO.app","AICPS-PLCBEAD_PLCEmbed-c78a56f\PLC-BEAD\Binary\All_PLC_Program_Binaries\codesys_ASTRO.app",".app","185080","CODESYS_APP_CONTAINER","UNKNOWN_NEEDS_BINARY_REVIEW","UNKNOWN_NEEDS_BINARY_REVIEW","UNKNOWN_NEEDS_BINARY_REVIEW","UNKNOWN_NEEDS_BINARY_REVIEW","yes","Calculations","Structured Text","1","0","0","ASTRO","PROGRAM_LEVEL_SPLIT_REQUIRED","LOCAL_PROJECT_DATASET","Manifest generated from local PLC-BEAD metadata and binary filenames; no binary semantic analysis performed."
"CODESYS_ATAN2","ATAN2","CODESYS","codesys_ATAN2.app","AICPS-PLCBEAD_PLCEmbed-c78a56f\PLC-BEAD\Binary\All_PLC_Program_Binaries\codesys_ATAN2.app",".app","184448","CODESYS_APP_CONTAINER","UNKNOWN_NEEDS_BINARY_REVIEW","UNKNOWN_NEEDS_BINARY_REVIEW","UNKNOWN_NEEDS_BINARY_REVIEW","UNKNOWN_NEEDS_BINARY_REVIEW","yes","Mathematics","Structured Text","1","0","0","ATAN2","PROGRAM_LEVEL_SPLIT_REQUIRED","LOCAL_PROJECT_DATASET","Manifest generated from local PLC-BEAD metadata and binary filenames; no binary semantic analysis performed."
"CODESYS_ATANH","ATANH","CODESYS","codesys_ATANH.app","AICPS-PLCBEAD_PLCEmbed-c78a56f\PLC-BEAD\Binary\All_PLC_Program_Binaries\codesys_ATANH.app",".app","184124","CODESYS_APP_CONTAINER","UNKNOWN_NEEDS_BINARY_REVIEW","UNKNOWN_NEEDS_BINARY_REVIEW","UNKNOWN_NEEDS_BINARY_REVIEW","UNKNOWN_NEEDS_BINARY_REVIEW","yes","Mathematics","Structured Text","1","0","0","ATANH","PROGRAM_LEVEL_SPLIT_REQUIRED","LOCAL_PROJECT_DATASET","Manifest generated from local PLC-BEAD metadata and binary filenames; no binary semantic analysis performed."
