"program_name","func_label","fold_id","toolchain_count","sample_count","has_codesys","has_geb","has_openplcv2","has_openplcv3","split_policy"
"SDD","Actuators_HVAC","fold_7","3","3","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"SDD_NH3","Actuators_HVAC","fold_8","3","3","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"SDT_NH3","Actuators_HVAC","fold_9","3","3","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"T_AVG24","Actuators_HVAC","fold_0","2","2","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"TANK_LEVEL","Actuators_HVAC","fold_1","3","3","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"TANK_VOL1","Actuators_HVAC","fold_2","3","3","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"TANK_VOL2","Actuators_HVAC","fold_3","3","3","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"TEMP_EXT","Actuators_HVAC","fold_4","3","3","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"WATER_CP","Actuators_HVAC","fold_5","3","3","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"WATER_DENSITY","Actuators_HVAC","fold_6","2","2","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"WATER_ENTHALPY","Actuators_HVAC","fold_7","3","3","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"WCT","Actuators_HVAC","fold_8","3","3","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"F_LIN","Arithmetic_Func","fold_0","4","4","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"F_LIN2","Arithmetic_Func","fold_1","4","4","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"F_POLY","Arithmetic_Func","fold_2","4","4","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"F_POWER","Arithmetic_Func","fold_3","4","4","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"F_QUAD","Arithmetic_Func","fold_4","4","4","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"FRMP_B","Arithmetic_Func","fold_5","4","4","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"FT_AVG","Arithmetic_Func","fold_6","4","4","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"FT_MIN_MAX","Arithmetic_Func","fold_7","4","4","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"FT_RMP","Arithmetic_Func","fold_8","4","4","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"LINEAR_INT","Arithmetic_Func","fold_9","4","4","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"POLYNOM_INT","Arithmetic_Func","fold_0","4","4","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"_ARRAY_ABS","Array_Buffer_Mem_List","fold_0","4","4","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"_ARRAY_ADD","Array_Buffer_Mem_List","fold_1","4","4","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"_ARRAY_INIT","Array_Buffer_Mem_List","fold_2","4","4","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"_ARRAY_MUL","Array_Buffer_Mem_List","fold_3","4","4","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"_ARRAY_SHUFFLE","Array_Buffer_Mem_List","fold_4","4","4","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"_ARRAY_SORT","Array_Buffer_Mem_List","fold_5","4","4","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"_BUFFER_UPPERCASE_NW","Array_Buffer_Mem_List","fold_6","3","3","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"ARRAY_AVG","Array_Buffer_Mem_List","fold_7","4","4","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"ARRAY_GAV","Array_Buffer_Mem_List","fold_8","4","4","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"ARRAY_HAV","Array_Buffer_Mem_List","fold_9","4","4","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"ARRAY_MAX","Array_Buffer_Mem_List","fold_0","4","4","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"ARRAY_MEDIAN","Array_Buffer_Mem_List","fold_1","3","3","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"ARRAY_MIN","Array_Buffer_Mem_List","fold_2","4","4","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"ARRAY_SDV","Array_Buffer_Mem_List","fold_3","4","4","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"ARRAY_SPR","Array_Buffer_Mem_List","fold_4","4","4","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"ARRAY_SUM","Array_Buffer_Mem_List","fold_5","4","4","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"ARRAY_TREND","Array_Buffer_Mem_List","fold_6","4","4","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"ARRAY_VAR","Array_Buffer_Mem_List","fold_7","4","4","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"BUFFER_COMP","Array_Buffer_Mem_List","fold_8","4","4","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"BUFFER_COMP_NW","Array_Buffer_Mem_List","fold_9","3","3","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"FIFO_16","Array_Buffer_Mem_List","fold_0","4","4","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"FIFO_32","Array_Buffer_Mem_List","fold_1","4","4","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"IS_SORTED","Array_Buffer_Mem_List","fold_2","4","4","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"LIST_ADD","Array_Buffer_Mem_List","fold_3","4","4","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"STACK_16","Array_Buffer_Mem_List","fold_4","4","4","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"STACK_32","Array_Buffer_Mem_List","fold_5","4","4","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"DRIVER_1","Basic_Dev_Drivers","fold_0","4","4","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"DRIVER_4","Basic_Dev_Drivers","fold_1","4","4","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"DRIVER_4C","Basic_Dev_Drivers","fold_2","4","4","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"FLOW_CONTROL","Basic_Dev_Drivers","fold_3","4","4","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"FLOW_CONTROL_4","Basic_Dev_Drivers","fold_4","3","3","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"FT_PROFILE","Basic_Dev_Drivers","fold_5","4","4","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"INC_DEC","Basic_Dev_Drivers","fold_6","3","3","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"INTERLOCK","Basic_Dev_Drivers","fold_7","4","4","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"INTERLOCK_4","Basic_Dev_Drivers","fold_8","4","4","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"MANUAL","Basic_Dev_Drivers","fold_9","4","4","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"MANUAL_1","Basic_Dev_Drivers","fold_0","4","4","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"MANUAL_2","Basic_Dev_Drivers","fold_1","4","4","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"MANUAL_4","Basic_Dev_Drivers","fold_2","4","4","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"PARSET","Basic_Dev_Drivers","fold_3","4","4","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"PARSET2","Basic_Dev_Drivers","fold_4","4","4","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"SIGNAL","Basic_Dev_Drivers","fold_5","4","4","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"SIGNAL_4","Basic_Dev_Drivers","fold_6","4","4","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"SRAMP","Basic_Dev_Drivers","fold_7","4","4","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"TUNE","Basic_Dev_Drivers","fold_8","4","4","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"TUNE2","Basic_Dev_Drivers","fold_9","4","4","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"CIRCLE_A","Basic_Other_Func","fold_0","4","4","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"CIRCLE_C","Basic_Other_Func","fold_1","4","4","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"CIRCLE_SEG","Basic_Other_Func","fold_2","4","4","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"CONE_V","Basic_Other_Func","fold_3","4","4","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"ELLIPSE_A","Basic_Other_Func","fold_4","4","4","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"ELLIPSE_C","Basic_Other_Func","fold_5","4","4","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"ESR_COLLECT","Basic_Other_Func","fold_6","4","4","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"ESR_MON_B8","Basic_Other_Func","fold_7","4","4","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"ESR_MON_X8","Basic_Other_Func","fold_8","4","4","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"OSCAT_VERSION","Basic_Other_Func","fold_9","4","4","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"R2_ABS","Basic_Other_Func","fold_0","4","4","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"R2_ADD","Basic_Other_Func","fold_1","4","4","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"R2_ADD2","Basic_Other_Func","fold_2","4","4","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"R2_DIV","Basic_Other_Func","fold_3","3","3","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"R2_MUL","Basic_Other_Func","fold_4","4","4","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"R2_SET","Basic_Other_Func","fold_5","4","4","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"SPHERE_V","Basic_Other_Func","fold_6","4","4","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"STATUS_TO_ESR","Basic_Other_Func","fold_7","4","4","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"TRIANGLE_A","Basic_Other_Func","fold_8","4","4","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"BLIND_ACTUATOR","Building_Other_Func","fold_0","3","3","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"BLIND_CONTROL","Building_Other_Func","fold_1","3","3","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"BLIND_CONTROL_S","Building_Other_Func","fold_2","3","3","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"BLIND_INPUT","Building_Other_Func","fold_3","2","2","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"BLIND_NIGHT","Building_Other_Func","fold_4","3","3","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"BLIND_SCENE","Building_Other_Func","fold_5","3","3","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"BLIND_SECURITY","Building_Other_Func","fold_6","3","3","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"BLIND_SET","Building_Other_Func","fold_7","3","3","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"BLIND_SHADE_S","Building_Other_Func","fold_8","3","3","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"BUILDING_VERSION","Building_Other_Func","fold_9","3","3","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"CLICK","Building_Other_Func","fold_0","2","2","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"CLICK_MODE","Building_Other_Func","fold_1","2","2","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"DEBOUNCE","Building_Other_Func","fold_2","3","3","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"DIMM_2","Building_Other_Func","fold_3","2","2","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"DIMM_I","Building_Other_Func","fold_4","2","2","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"F_LAMP","Building_Other_Func","fold_5","3","3","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"PULSE_LENGTH","Building_Other_Func","fold_6","3","3","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"PULSE_T","Building_Other_Func","fold_7","3","3","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"SW_RECONFIG","Building_Other_Func","fold_8","3","3","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"SWITCH_I","Building_Other_Func","fold_9","3","3","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"SWITCH_X","Building_Other_Func","fold_0","3","3","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"TIMER_1","Building_Other_Func","fold_1","3","3","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"TIMER_2","Building_Other_Func","fold_2","3","3","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"TIMER_EXT","Building_Other_Func","fold_3","3","3","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"TIMER_P4","Building_Other_Func","fold_4","2","2","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"ASTRO","Calculations","fold_0","4","4","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"BFT_TO_MS","Calculations","fold_1","4","4","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"C_TO_F","Calculations","fold_2","4","4","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"C_TO_K","Calculations","fold_3","4","4","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"DEG_TO_DIR","Calculations","fold_4","4","4","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"DIR_TO_DEG","Calculations","fold_5","4","4","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"ENERGY","Calculations","fold_6","4","4","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"F_TO_C","Calculations","fold_7","4","4","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"F_TO_OM","Calculations","fold_8","4","4","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"F_TO_PT","Calculations","fold_9","4","4","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"GEO_TO_DEG","Calculations","fold_0","4","4","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"K_TO_C","Calculations","fold_1","4","4","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"KMH_TO_MS","Calculations","fold_2","4","4","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"MS_TO_BFT","Calculations","fold_3","4","4","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"MS_TO_KMH","Calculations","fold_4","4","4","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"OM_TO_F","Calculations","fold_5","4","4","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"PRESSURE","Calculations","fold_6","4","4","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"PT_TO_F","Calculations","fold_7","4","4","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"SPEED","Calculations","fold_8","4","4","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"TEMPERATURE","Calculations","fold_9","4","4","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"CABS","Complex_Math","fold_0","4","4","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"CACOS","Complex_Math","fold_1","4","4","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"CACOSH","Complex_Math","fold_2","4","4","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"CADD","Complex_Math","fold_3","4","4","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"CARG","Complex_Math","fold_4","4","4","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"CASIN","Complex_Math","fold_5","4","4","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"CASINH","Complex_Math","fold_6","4","4","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"CATAN","Complex_Math","fold_7","4","4","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"CATANH","Complex_Math","fold_8","4","4","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"CCON","Complex_Math","fold_9","4","4","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"CCOS","Complex_Math","fold_0","4","4","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"CCOSH","Complex_Math","fold_1","4","4","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"CDIV","Complex_Math","fold_2","4","4","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"CEXP","Complex_Math","fold_3","4","4","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"CINV","Complex_Math","fold_4","4","4","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"CLOG","Complex_Math","fold_5","4","4","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"CMUL","Complex_Math","fold_6","4","4","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"CPOL","Complex_Math","fold_7","4","4","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"CPOW","Complex_Math","fold_8","4","4","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"CSET","Complex_Math","fold_9","4","4","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"CSIN","Complex_Math","fold_0","4","4","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"CSINH","Complex_Math","fold_1","4","4","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"CSQRT","Complex_Math","fold_2","4","4","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"CSUB","Complex_Math","fold_3","4","4","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"CTAN","Complex_Math","fold_4","4","4","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"CTANH","Complex_Math","fold_5","4","4","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"BAND_B","Ctrl_Mods","fold_0","4","4","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
